Mutant,org.apache.commons.math3.genetics.ElitisticListPopulationTest[testSetElitismRateTooLow],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testConstructorTooLow],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testSetElitismRateTooHigh],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testSetElitismRate],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testConstructorTooHigh],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testChromosomeListConstructorTooHigh],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testNextGeneration],org.apache.commons.math3.genetics.TournamentSelectionTest[testSelect],org.apache.commons.math3.genetics.ElitisticListPopulationTest[testChromosomeListConstructorTooLow],org.apache.commons.math3.genetics.FitnessCachingTest[testFitnessCaching],org.apache.commons.math3.genetics.GeneticAlgorithmTestBinary[test],org.apache.commons.math3.genetics.GeneticAlgorithmTestPermutations[test],org.apache.commons.math3.genetics.ElitisticListPopulation_ESTest[test1],org.apache.commons.math3.genetics.ElitisticListPopulation_ESTest[test2],org.apache.commons.math3.genetics.ElitisticListPopulation_ESTest[test0],Total,Equiv?
35,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,4,
36,PASS,PASS,PASS,EXC,PASS,PASS,EXC,EXC,PASS,EXC,EXC,EXC,PASS,PASS,EXC,7,
37,PASS, ,PASS,EXC,PASS,PASS,EXC,EXC, ,EXC,EXC,EXC, ,PASS,EXC,7,
38,PASS, ,PASS,EXC,PASS,PASS,EXC,EXC, ,EXC,EXC,EXC, ,PASS,EXC,7,
39,PASS, ,PASS,EXC,PASS,PASS,EXC,EXC, ,EXC,EXC,EXC, ,PASS,PASS,6,
4,PASS,FAIL,PASS,PASS,FAIL, ,FAIL,PASS, ,PASS,PASS,PASS,FAIL,FAIL,PASS,5,
40,PASS, ,PASS,EXC,FAIL,FAIL,EXC,EXC, ,EXC,EXC,EXC, ,FAIL,PASS,9,
41,PASS, ,PASS,EXC,FAIL,FAIL,EXC,EXC, ,EXC,EXC,EXC, ,FAIL,EXC,10,
42,PASS, ,FAIL,PASS,FAIL,FAIL,PASS,PASS, ,PASS,PASS,PASS, ,FAIL,EXC,5,
43,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, ,PASS,EXC,1,
44,PASS, ,FAIL,PASS,FAIL,FAIL,PASS,PASS, ,PASS,PASS,PASS, ,FAIL,PASS,4,
45,PASS, ,PASS,EXC,PASS,PASS,EXC,EXC, ,EXC,EXC,EXC, ,PASS,EXC,7,
46,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
47,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,PASS,8,
48,PASS,FAIL,PASS,EXC,FAIL,FAIL,EXC,EXC,FAIL,EXC,EXC,EXC,FAIL,FAIL,EXC,13,
49,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,PASS,8,
5, , , , , , ,EXC, , ,EXC,EXC,EXC, , ,EXC,5,
50,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,4,
51,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,4,
52,PASS,PASS,PASS,EXC,PASS,PASS,EXC,EXC,PASS,EXC,EXC,EXC,PASS,PASS,EXC,7,
53,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, , , ,PASS,PASS, ,0,
54,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, , , ,PASS,PASS, ,0,
55,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, , , ,PASS,PASS, ,0,
56,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, , , ,PASS,PASS, ,0,
57,PASS, ,PASS,FAIL, , ,FAIL,PASS, ,PASS,PASS,PASS, , ,FAIL,3,
58, , , ,FAIL, , ,FAIL, , ,PASS,PASS,PASS, , ,FAIL,3,
6, , , , , , ,EXC, , ,EXC,EXC,EXC, , ,EXC,5,
7, , , , , , ,PASS, , ,PASS,PASS,PASS, , ,PASS,0,
8, , , , , , ,EXC, , ,EXC,EXC,EXC, , ,EXC,5,
9, , , , , , ,EXC, , ,EXC,EXC,EXC, , ,EXC,5,
