Mutant,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest[testDecomposition3x3],org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest[testFullRank],org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest[testMath789],org.apache.commons.math3.stat.regression.GLSMultipleLinearRegressionTest[testGLSEfficiency],org.apache.commons.math3.linear.RectangularCholeskyDecomposition_ESTest[test1],org.apache.commons.math3.linear.RectangularCholeskyDecomposition_ESTest[test4],org.apache.commons.math3.linear.RectangularCholeskyDecomposition_ESTest[test3],org.apache.commons.math3.linear.RectangularCholeskyDecomposition_ESTest[test5],org.apache.commons.math3.linear.RectangularCholeskyDecomposition_ESTest[test0],org.apache.commons.math3.linear.RectangularCholeskyDecomposition_ESTest[test2],Total,Equiv?
184,EXC,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,8,
185,FAIL,FAIL,FAIL,PASS,PASS, , ,PASS,PASS,PASS,3,
186,EXC,EXC,EXC,EXC,EXC, , , , , ,5,
187, , , ,EXC, , , ,FAIL,FAIL,FAIL,4,
19,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
2,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,10,
20,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,10,
21,FAIL,FAIL,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,5,
22,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
23,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,10,
24,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
25,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
26,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,10,
27,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,EXC,EXC,7,
28,FAIL,FAIL,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
29,EXC,EXC,EXC,EXC,EXC,PASS,PASS,PASS,EXC,EXC,7,
3,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,9,
30,FAIL,FAIL,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
31,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,10,
32,FAIL,FAIL,EXC,PASS,PASS,PASS,PASS,PASS, ,PASS,3,
33,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS, ,PASS,2,
34,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,EXC, ,PASS,4,
35,FAIL,FAIL,EXC,PASS,PASS,PASS,PASS,EXC, ,PASS,4,
36,FAIL,FAIL,EXC,PASS,PASS,PASS,PASS,EXC, ,PASS,4,
37,FAIL,FAIL,EXC,PASS,PASS,PASS,PASS,PASS, ,PASS,3,
38,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,0,
39,FAIL,FAIL,EXC,PASS,PASS,PASS,PASS,PASS, ,PASS,3,
4,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,10,
40,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,EXC, ,PASS,4,
41,FAIL,FAIL,EXC,PASS, , , , , ,PASS,3,
42,FAIL,FAIL,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
43,FAIL,FAIL,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
44,FAIL,FAIL,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
45,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
46,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
47,FAIL,FAIL,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
48,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
49,PASS,PASS,FAIL,PASS, , , , , ,PASS,1,
5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
50,FAIL,FAIL,FAIL,PASS, , , , , ,PASS,3,
51,FAIL,FAIL,FAIL,PASS, , , , , ,PASS,3,
52,EXC,EXC,EXC,EXC, , , , , ,EXC,5,
53,FAIL,FAIL,FAIL,PASS, , , , , ,PASS,3,
54,FAIL,FAIL,FAIL,PASS, , , , , ,PASS,3,
55,EXC,FAIL,FAIL,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,5,
56,EXC,EXC,EXC,EXC,EXC,PASS,PASS,EXC,PASS,EXC,7,
57,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,1,
58,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,EXC,PASS,4,
59,EXC,EXC,EXC,EXC,EXC,PASS,FAIL,EXC,PASS,EXC,8,
6,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,10,
60,EXC,EXC,EXC,EXC,EXC,PASS,FAIL,EXC,EXC,EXC,9,
61,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,3,
62,EXC,EXC,EXC,EXC,EXC,PASS,PASS,EXC,EXC,EXC,8,
63, , ,PASS, , ,PASS,FAIL,EXC, , ,2,
64, , ,PASS, , ,PASS,FAIL,PASS, , ,1,
65, , ,EXC, , ,PASS,FAIL,EXC, , ,3,
66, , ,PASS, , ,PASS,FAIL,PASS, , ,1,
67, , ,PASS, , ,PASS,PASS,PASS, , ,0,
68, , ,EXC, , ,PASS,FAIL,EXC, , ,3,
69, , ,EXC, , ,PASS,PASS,EXC, , ,2,
7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
70, , ,PASS, , ,PASS,FAIL,PASS, , ,1,
71, , ,EXC, , ,PASS,PASS,EXC, , ,2,
72, , ,PASS, , ,PASS, ,PASS, , ,0,
73, , ,PASS, , ,PASS, ,PASS, , ,0,
74, , ,EXC, , ,PASS, ,EXC, , ,2,
75, , ,PASS, , ,FAIL, ,PASS, , ,1,
76, , ,PASS, , ,FAIL, ,PASS, , ,1,
77, , ,PASS, , ,FAIL, ,PASS, , ,1,
78, , ,PASS, , ,FAIL, ,PASS, , ,1,
79, , ,EXC, , ,PASS, ,EXC, , ,2,
8,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,10,
80, , ,EXC, , ,PASS, ,EXC, , ,2,
81, , ,EXC, , ,PASS, ,EXC, , ,2,
82, , ,PASS, , ,PASS, ,PASS, , ,0,
83, , ,PASS, , ,FAIL, ,PASS, , ,1,
84, , ,EXC, , ,FAIL, ,EXC, , ,3,
85, , ,EXC, , ,FAIL, ,EXC, , ,3,
86, , ,PASS, , ,FAIL, ,PASS, , ,1,
87, , ,EXC, , ,PASS, ,EXC, , ,2,
88, , ,PASS, , , , ,FAIL, , ,1,
89, , ,EXC, , , , ,EXC, , ,2,
9,EXC,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,4,
90, , ,EXC, , , , ,EXC, , ,2,
91,EXC,EXC,EXC,EXC,PASS,PASS, ,PASS,PASS,PASS,4,
92,FAIL,FAIL,FAIL,PASS,PASS,PASS, ,PASS,PASS,PASS,3,
93,FAIL,EXC,EXC,PASS,PASS,PASS, ,PASS,PASS,PASS,3,
94,FAIL,FAIL,FAIL,PASS,PASS,PASS, ,PASS,PASS,PASS,3,
95,EXC,EXC,EXC,EXC,PASS,PASS, ,PASS,PASS,PASS,4,
96,EXC,EXC,EXC,EXC,PASS,PASS, ,PASS,PASS,PASS,4,
97,EXC,EXC,EXC,EXC,PASS,PASS, ,PASS,PASS,PASS,4,
98,EXC,EXC,EXC,EXC,PASS,PASS, ,PASS,PASS,PASS,4,
99,FAIL,FAIL,FAIL,PASS,PASS,FAIL, ,PASS,PASS,PASS,4,
