Mutant,org.apache.commons.math.optimization.linear.SimplexSolverTest[testSingleVariableAndConstraint],org.apache.commons.math.optimization.linear.SimplexSolverTest[testMath286],org.apache.commons.math.optimization.linear.SimplexSolverTest[testModelWithNoArtificialVars],org.apache.commons.math.optimization.linear.SimplexSolverTest[testMinimization],org.apache.commons.math.optimization.linear.SimplexSolverTest[testSolutionWithNegativeDecisionVariable],org.apache.commons.math.optimization.linear.SimplexSolverTest[testEpsilon],org.apache.commons.math.optimization.linear.SimplexSolverTest[testSimplexSolver],org.apache.commons.math.optimization.linear.SimplexSolverTest[testTrivialModel],org.apache.commons.math.optimization.linear.SimplexSolverTest[testInfeasibleSolution],org.apache.commons.math.optimization.linear.SimplexSolverTest[testMath272],org.apache.commons.math.optimization.linear.SimplexSolverTest[testMath288],org.apache.commons.math.optimization.linear.SimplexSolverTest[testUnboundedSolution],org.apache.commons.math.optimization.linear.SimplexSolverTest[testRestrictVariablesToNonNegative],org.apache.commons.math.optimization.linear.SimplexSolverTest[testLargeModel],org.apache.commons.math.optimization.linear.SimplexSolver_ESTest[test2],org.apache.commons.math.optimization.linear.SimplexSolver_ESTest[test1],org.apache.commons.math.optimization.linear.SimplexSolver_ESTest[test0],org.apache.commons.math.optimization.linear.SimplexSolver_ESTest[test5],org.apache.commons.math.optimization.linear.SimplexSolver_ESTest[test4],org.apache.commons.math.optimization.linear.SimplexSolver_ESTest[test3],Total,Equiv?
108, ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS, ,0,
109, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, ,PASS, ,10,
11,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, , , ,0,
110, , , , , , , , , , , , , , , , , , , , ,0,
111, , , , , , , , , , , , , , , , , , , , ,0,
112, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,PASS, ,PASS, ,11,
113, ,PASS, ,PASS,PASS,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS, ,1,
114, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, ,FAIL, ,13,
115, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, ,PASS, ,10,
116, ,PASS, ,PASS,PASS,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS, ,1,
117, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, ,FAIL, ,13,
118, ,PASS, ,PASS,PASS,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS, ,1,
119, ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, ,FAIL, ,1,
12,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,EXC, ,PASS,PASS, , , ,4,
120, ,PASS, ,PASS,PASS,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS, ,1,
121, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, ,PASS, ,10,
122, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, ,FAIL, ,11,
123, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, ,FAIL, ,11,
124, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, ,PASS, ,10,
125, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, ,FAIL, ,13,
126, ,EXC, ,EXC,EXC,EXC,PASS,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, , , ,9,
127, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, , , ,12,
128, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, , , ,12,
129, ,EXC, ,EXC,EXC,PASS,EXC,PASS,PASS,EXC, ,EXC,PASS,EXC, , ,PASS, , , ,7,
13,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,EXC, , , ,15,
130, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, , , ,12,
131, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, , , ,10,
132, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,PASS, , , ,11,
133, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, , , ,12,
134, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, , , ,12,
135, ,EXC, ,EXC,EXC,EXC,EXC,PASS,EXC,EXC, ,EXC,EXC,EXC, , ,FAIL, , , ,11,
136, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, , , ,12,
137, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, , , ,10,
138, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, , , ,12,
139, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, , , ,10,
14,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,EXC, , , ,15,
140, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,FAIL, , , ,10,
141, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, ,PASS, ,12,
142,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,PASS,0,
143,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,PASS,PASS, ,EXC, ,FAIL,14,
144,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,PASS,0,
145,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS, ,PASS,1,
146,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,FAIL,PASS, ,EXC, ,FAIL,15,
147,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,FAIL,PASS, ,EXC, ,FAIL,15,
148,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,PASS,PASS, ,EXC, ,FAIL,14,
149,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS, ,PASS,1,
15,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,EXC, , , ,15,
150,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,PASS,PASS, ,EXC, ,FAIL,14,
151, , , , , , , , , , , , , , ,FAIL, , , , , ,1,
152, , , , , , , , , , , , , , ,FAIL, , , , , ,1,
153,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS, ,EXC,PASS,PASS,PASS,EXC, ,PASS, ,PASS, ,FAIL,4,
154,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,EXC,PASS,PASS,PASS,EXC, ,PASS, ,PASS, ,PASS,2,
155,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC, ,PASS, ,EXC, ,EXC,14,
156,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, ,PASS,FAIL,FAIL,FAIL,PASS, ,FAIL, ,PASS, ,PASS,9,
157,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,EXC,PASS,PASS,PASS,EXC, ,PASS, ,PASS, ,PASS,2,
158,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC, ,PASS, ,EXC, ,EXC,14,
159,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,EXC,PASS,PASS,PASS,EXC, ,PASS, ,PASS, ,PASS,2,
16,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,EXC, , , ,15,
160,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS, ,PASS, ,PASS, ,PASS,0,
161,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,EXC,PASS,PASS,PASS,EXC, ,PASS, ,PASS, ,PASS,2,
162,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, ,PASS,FAIL,FAIL,FAIL,PASS, ,FAIL, ,PASS, ,PASS,9,
163,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, ,PASS,FAIL,FAIL,FAIL,PASS, ,FAIL, ,PASS, ,PASS,9,
164,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, ,PASS,FAIL,FAIL,FAIL,PASS, ,FAIL, ,PASS, ,PASS,9,
165,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, ,PASS,FAIL,FAIL,FAIL,PASS, ,FAIL, ,PASS, ,PASS,9,
166,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC, ,PASS, ,EXC, ,EXC,14,
167,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,PASS, ,EXC,FAIL,PASS,EXC,EXC, ,FAIL, ,EXC, ,EXC,14,
168,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC, ,FAIL, ,EXC, ,EXC,16,
169,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC, ,PASS, ,PASS, ,FAIL,13,
17,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,FAIL,EXC, , , ,16,
170,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS,PASS,PASS, ,PASS, ,PASS, ,PASS,2,
171,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC, ,PASS, ,EXC, ,FAIL,14,
172,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, ,PASS,FAIL,FAIL,FAIL,PASS, ,FAIL, ,PASS, ,PASS,9,
173,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS, ,EXC,EXC,PASS,EXC,EXC, ,PASS, ,PASS, ,PASS,11,
174,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC, ,PASS, ,EXC, ,FAIL,14,
175,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC, ,PASS, ,EXC, ,FAIL,14,
176,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,PASS, ,EXC,FAIL,PASS,EXC,EXC, ,PASS, ,PASS, ,PASS,11,
177,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC, ,PASS, ,EXC, ,FAIL,14,
178,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS, ,PASS,FAIL,FAIL,FAIL,PASS, ,FAIL, ,PASS, ,PASS,9,
179,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC, ,PASS, ,EXC, ,FAIL,14,
18,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,PASS,EXC,EXC,PASS,EXC,EXC, ,FAIL,EXC, , , ,12,
180,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , , ,FAIL,FAIL,FAIL, , ,FAIL, , , , ,9,
181,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , , ,FAIL,FAIL,FAIL, , ,FAIL, , , , ,9,
182,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC, ,EXC,EXC, , , ,EXC, ,FAIL,14,
183,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS,PASS, ,3,
184,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,0,
185,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL, ,PASS,FAIL,PASS,FAIL, ,6,
186,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,0,
187,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,0,
188,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL, ,PASS,FAIL,PASS,FAIL, ,6,
189,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL, ,PASS,FAIL,PASS,FAIL, ,6,
19,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,FAIL,EXC, , , ,16,
190,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,0,
191,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL, ,PASS,FAIL,PASS,FAIL, ,6,
192,PASS, ,PASS, , , , , , , ,PASS, , , , ,PASS, ,PASS, , ,0,
193, ,TIME, ,TIME,TIME,TIME,TIME,TIME,EXC,TIME, ,EXC,TIME,TIME, , ,PASS, , , ,11,
194, ,EXC, ,EXC,EXC,EXC,EXC,PASS,PASS,EXC, ,EXC,EXC,EXC, , ,PASS, ,FAIL, ,10,
195, ,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, ,FAIL, ,13,
196, ,EXC, ,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,EXC,EXC,EXC, , ,EXC, ,PASS, ,11,
197, ,EXC, ,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,EXC,EXC,EXC, , ,EXC, ,PASS, ,11,
198, ,EXC, ,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,EXC,EXC,EXC, , ,EXC, ,PASS, ,11,
199, ,PASS, ,PASS,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,PASS,PASS, , ,PASS, ,FAIL, ,2,
2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, , , ,0,
20,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, , , ,0,
200,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS, ,EXC, , ,15,
201,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL, ,PASS, ,PASS, , ,4,
202,PASS,EXC,PASS,EXC,EXC,EXC,EXC,EXC, ,EXC,PASS,EXC,EXC,EXC, ,PASS, ,PASS, , ,10,
203,TIME,TIME,TIME,TIME,TIME,TIME, , , , ,TIME,EXC,TIME, , ,PASS, , , , ,9,
204,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC, ,EXC,EXC, , , ,EXC, , ,13,
21,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,EXC, , , ,15,
22,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,PASS, , , ,14,
23,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, , , ,0,
24,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,EXC, , , ,15,
25,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, ,PASS,EXC, , , ,14,
26,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, ,PASS,EXC, , , ,14,
27,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,EXC, , , ,15,
28,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,PASS, , , ,14,
29,EXC,PASS,EXC,EXC,PASS,PASS,PASS,PASS,PASS,EXC,EXC,PASS,EXC,EXC, ,FAIL,PASS, , , ,8,
3,PASS,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,PASS,PASS, , , ,11,
30,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,FAIL,EXC, , , ,16,
31,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, , , ,0,
32,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,EXC, , , ,15,
33,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS,EXC, , , ,15,
34,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, ,PASS,EXC, , , ,14,
35,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,EXC, ,PASS,PASS, , , ,3,
36,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, , , ,0,
37,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,FAIL,EXC, , , ,16,
38,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, ,FAIL,EXC, , , ,15,
39,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, ,PASS,EXC, , , ,14,
4,PASS,EXC,PASS,EXC,EXC,PASS,EXC,EXC,EXC,EXC,PASS,PASS,PASS,EXC, ,PASS,PASS, , , ,8,
40,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, ,FAIL,EXC, , , ,15,
41,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, ,PASS,EXC, , , ,14,
42,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,FAIL,EXC, , , ,16,
43,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC, , , ,15,
44,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC, , , ,15,
45,PASS,PASS,FAIL,FAIL,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,EXC,FAIL, , ,PASS, , , ,5,
46,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC, , , ,15,
47,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC, , , ,15,
48,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC, , , ,15,
49,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, , ,EXC, , , ,14,
5,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,EXC, ,PASS,PASS, , , ,4,
50,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, , ,PASS, , , ,12,
51,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS, , ,PASS, , , ,2,
52,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, , ,EXC, , , ,14,
53,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS, , ,PASS, , , ,1,
54,PASS,PASS,PASS,PASS,EXC,EXC,PASS,PASS,PASS,EXC,EXC,PASS,EXC,EXC, , ,PASS, , , ,6,
55,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, , ,EXC, , , ,14,
56,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, , ,EXC, , , ,14,
57,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, , ,EXC, , , ,14,
58,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS, , ,PASS, , , ,1,
59,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, , ,EXC, , , ,14,
6,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,FAIL,EXC, , , ,16,
60,PASS,PASS,PASS,PASS,EXC,EXC,PASS,PASS,PASS,EXC,EXC,PASS,EXC,EXC, , ,PASS, , , ,6,
61,PASS,PASS,FAIL,FAIL,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,EXC,FAIL, , ,PASS, , , ,5,
62,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS, , ,PASS, , , ,2,
63,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS, , , ,1,
64,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS, , , ,1,
65,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,EXC,FAIL, , ,PASS, , , ,4,
66,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS, , , ,0,
67,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, , ,EXC, , , ,14,
68,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, , ,EXC, , , ,14,
69,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC, , ,EXC, , , ,14,
