Mutant,org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath290LEQ],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testTrivialModel],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testInfeasibleSolution],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testSingleVariableAndConstraint],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath290GEQ],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath713NegativeVariable],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testModelWithNoArtificialVars],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMinimization],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434PivotRowSelection],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testSolutionWithNegativeDecisionVariable],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434UnfeasibleSolution],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434NegativeVariable],org.apache.commons.math3.optimization.linear.SimplexTableauTest[testTableauWithNoArtificialVars],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testEpsilon],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testSimplexSolver],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testDegeneracy],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath272],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath288],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath781],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath286],org.apache.commons.math3.optimization.linear.SimplexTableauTest[testDropPhase1Objective],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testUnboundedSolution],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath293],org.apache.commons.math3.optimization.linear.SimplexTableauTest[testSerial],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testMath434PivotRowSelection2],org.apache.commons.math3.optimization.linear.SimplexTableauTest[testInitialization],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testRestrictVariablesToNonNegative],org.apache.commons.math3.optimization.linear.SimplexSolverTest[testLargeModel],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test01],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test08],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test11],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test12],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test14],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test19],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test05],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test04],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test23],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test06],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test13],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test17],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test00],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test22],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test16],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test18],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test20],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test10],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test25],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test21],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test07],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test15],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test24],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test03],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test09],org.apache.commons.math3.optimization.linear.SimplexTableau_ESTest[test02],Total,Equiv?
108,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
109,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
11, , ,PASS,FAIL, , ,FAIL,FAIL,EXC,FAIL, ,FAIL,FAIL,PASS,EXC, , , ,FAIL, ,FAIL,FAIL, ,PASS,PASS,FAIL, , ,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS, , ,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS,12,
110,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
111,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
112,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
113,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
114,PASS,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS, , , , , , , , , ,PASS, , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS, ,1,
115,EXC,EXC,EXC, , ,EXC, ,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , , , , , , ,EXC, , , , , , , , , , ,EXC,EXC,EXC,EXC,EXC, ,29,
116,PASS,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS, , , , , , , , , ,PASS, , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS, ,1,
117,EXC,EXC,EXC, , ,EXC, ,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , , , , , , ,EXC, , , , , , , , , , ,EXC,EXC,EXC,EXC,EXC, ,29,
118,PASS,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS, , , , , , , , , ,PASS, , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS, ,1,
119,PASS,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS, , , , , , , , , ,PASS, , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS, ,1,
12, , ,PASS,PASS, , ,FAIL,FAIL,EXC,EXC, ,FAIL,FAIL,EXC,EXC, , , ,EXC, ,FAIL,EXC, ,PASS,FAIL,FAIL, , ,PASS,PASS, ,EXC, ,PASS, ,PASS,PASS, , ,PASS, , ,EXC,EXC,EXC,EXC,PASS,PASS,PASS,EXC,EXC, , ,EXC,21,
120,PASS,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS, , , , , , , , , ,PASS, , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS, ,1,
121,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,PASS,EXC,25,
122,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,PASS,EXC,25,
123,PASS,PASS,PASS,PASS,PASS,EXC,FAIL,EXC,EXC,EXC,PASS,EXC,FAIL,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,FAIL,PASS,EXC,PASS,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,PASS,EXC,42,
124,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,PASS,EXC,25,
125,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
126,PASS,PASS,PASS,PASS,PASS,EXC,FAIL,EXC,EXC,EXC,PASS,EXC,FAIL,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,FAIL,PASS,EXC,PASS,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,PASS,EXC,42,
127,PASS,PASS,PASS,PASS,PASS,EXC,PASS,EXC,EXC,EXC,PASS,EXC,PASS,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,PASS,EXC,FAIL,EXC,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,17,
128,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,PASS,PASS,EXC,25,
129,PASS,PASS,PASS,PASS,PASS,EXC,PASS,EXC,EXC,EXC,PASS,EXC,PASS,EXC,EXC,EXC,EXC,PASS,EXC,EXC,FAIL,PASS,EXC,PASS,EXC,FAIL,EXC,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,17,
13,EXC,EXC,PASS,PASS,EXC,EXC,PASS,PASS,EXC,FAIL,EXC,EXC,FAIL,EXC,PASS,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,PASS,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,PASS,PASS,EXC,EXC,EXC,PASS,PASS,EXC,EXC,PASS,42,
130, , , ,PASS,PASS, ,FAIL, , , , , ,FAIL, , , , ,FAIL, , , , , , , , , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC, , ,EXC,25,
131, , , ,EXC,EXC, ,EXC, , , , , ,EXC, , , , ,EXC, , , , , , , , , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC, , ,EXC,27,
132,PASS,PASS,PASS, , ,EXC, ,EXC,EXC,EXC,PASS,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,FAIL,PASS,EXC,PASS,EXC,FAIL,EXC,EXC, , , , , , , , , ,PASS, , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS, ,17,
133,EXC,EXC,EXC, , ,EXC, ,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , , , , , , ,EXC, , , , , , , , , , ,EXC,EXC,EXC,EXC,EXC, ,29,
134,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
135,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
136, ,PASS,PASS,PASS, , ,PASS, , ,PASS, , ,FAIL,PASS,PASS,PASS, ,PASS,PASS,PASS,FAIL,PASS,PASS,PASS, ,FAIL,PASS, ,PASS,PASS,PASS, , ,PASS,PASS, , ,PASS,PASS, , , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,3,
137, ,PASS,PASS,PASS, , ,PASS, , ,PASS, , ,FAIL,PASS,PASS,PASS, ,PASS,PASS,PASS,FAIL,PASS,PASS,PASS, ,FAIL,PASS, ,PASS,PASS,PASS, , ,PASS,PASS, , ,PASS,PASS, , , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,3,
138,PASS, , , ,PASS,PASS, ,PASS,PASS, ,PASS,PASS, , , , ,PASS, , , , , , , ,PASS, , ,PASS, , , ,PASS,PASS, , ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, , ,PASS, ,PASS, , , , ,PASS,0,
139,PASS, , , ,PASS,PASS, ,PASS,PASS, ,PASS,PASS, , , , ,PASS, , , , , , , ,PASS, , ,PASS, , , ,PASS,PASS, , ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, , ,PASS, ,PASS, , , , ,PASS,0,
14,PASS,PASS,PASS,FAIL,FAIL,EXC,FAIL,FAIL,EXC,FAIL,PASS,FAIL,FAIL,PASS,EXC,EXC,FAIL,FAIL,FAIL,EXC,FAIL,FAIL,EXC,PASS,PASS,FAIL,EXC,EXC,PASS,PASS,EXC,PASS,EXC,PASS,EXC,PASS,PASS,PASS,EXC,EXC,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,28,
140,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3,
141,PASS,PASS,PASS,EXC,PASS,PASS,EXC,PASS,PASS,EXC,PASS,PASS,FAIL,EXC,FAIL,PASS,PASS,FAIL,EXC,FAIL,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,14,
142,PASS,PASS,PASS,PASS,EXC,EXC,PASS,EXC,EXC,PASS,PASS,EXC,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,8,
143, ,PASS,PASS,PASS, , ,FAIL, , ,FAIL, , ,FAIL,PASS,PASS,PASS, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, ,FAIL,FAIL, ,PASS,PASS,FAIL, , ,PASS,PASS, , ,PASS,PASS, , , ,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,12,
