Mutant,org.apache.commons.math.distribution.NormalDistributionTest[testGetStandardDeviation],org.apache.commons.math.distribution.NormalDistributionTest[testQuantiles],org.apache.commons.math.distribution.NormalDistributionTest[testGetMean],org.apache.commons.math.distribution.NormalDistributionTest[testSetMean],org.apache.commons.math.distribution.NormalDistributionTest[testInverseCumulativeProbabilityExtremes],org.apache.commons.math.distribution.NormalDistributionTest[testCumulativeProbabilities],org.apache.commons.math.distribution.NormalDistributionTest[testIllegalArguments],org.apache.commons.math.distribution.PoissonDistributionTest[testMean],org.apache.commons.math.distribution.PoissonDistributionTest[testCumulativeProbabilities],org.apache.commons.math.distribution.PoissonDistributionTest[testIllegalArguments],org.apache.commons.math.distribution.NormalDistributionTest[testConsistency],org.apache.commons.math.distribution.PoissonDistributionTest[testNormalApproximateProbability],org.apache.commons.math.distribution.PoissonDistributionTest[testLargeMeanCumulativeProbability],org.apache.commons.math.distribution.PoissonDistributionTest[testDensities],org.apache.commons.math.distribution.PoissonDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math.distribution.NormalDistributionTest[testSetStandardDeviation],org.apache.commons.math.distribution.NormalDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math.distribution.PoissonDistributionTest[testDegenerateInverseCumulativeProbability],org.apache.commons.math.distribution.NormalDistributionTest[testExtremeValues],org.apache.commons.math.distribution.PoissonDistributionTest[testLargeMeanInverseCumulativeProbability],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test5],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test6],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test7],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test3],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test4],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test2],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test1],org.apache.commons.math.distribution.NormalDistributionImpl_ESTest[test0],Total,Equiv?
28, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,PASS, , , ,FAIL,TIME, ,FAIL, , , , , ,PASS, , , ,6,
29, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,TIME, ,FAIL, , , , , ,FAIL, , , ,8,
3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
30, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,EXC, , , ,FAIL,TIME, ,FAIL, , , , , ,PASS, , , ,7,
31, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,FAIL, ,PASS, , , , , ,PASS, , , ,6,
32, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,FAIL, ,FAIL, , , , , ,PASS, , , ,7,
33, ,EXC, ,EXC, ,EXC, , , , ,EXC,EXC, , , ,EXC,EXC, ,FAIL, , , , , ,PASS, , , ,8,
34, ,FAIL, ,FAIL, ,FAIL, , , , ,FAIL,FAIL, , , ,FAIL,FAIL, ,FAIL, , , , , ,FAIL, , , ,9,
35, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,EXC, , , ,FAIL,FAIL, ,PASS, , , , , ,FAIL, , , ,7,
36, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,FAIL, ,PASS, , , , , ,FAIL, , , ,7,
37, ,EXC, ,EXC, ,EXC, , , , ,EXC,FAIL, , , ,FAIL,EXC, ,FAIL, , , , , ,PASS, , , ,8,
38, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,FAIL, ,EXC, , , , , ,FAIL, , , ,8,
39, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,TIME, ,FAIL, , , , , ,PASS, , , ,7,
4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
40, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,EXC, , , ,FAIL,FAIL, ,EXC, , , , , ,FAIL, , , ,8,
41, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,FAIL, ,FAIL, , , , , ,FAIL, , , ,8,
42, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,FAIL, ,FAIL, , , , , ,FAIL, , , ,8,
43, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,FAIL, ,FAIL, , , , , ,FAIL, , , ,8,
44, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,PASS, , , ,FAIL,TIME, ,FAIL, , , , , ,PASS, , , ,6,
45, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,FAIL, ,FAIL, , , , , ,PASS, , , ,7,
46, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,FAIL, ,FAIL, , , , , ,FAIL, , , ,8,
47, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,FAIL, ,FAIL, , , , , ,PASS, , , ,7,
48, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,FAIL, ,FAIL, , , , , ,PASS, , , ,7,
49, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,FAIL, ,FAIL, , , , , ,PASS, , , ,7,
5,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,5,
50, ,FAIL, ,FAIL, ,FAIL, , , , ,PASS,FAIL, , , ,FAIL,FAIL, ,FAIL, , , , , ,PASS, , , ,7,
51, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
52, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
53, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
54, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
55, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
56, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
57, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
58, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
59, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
6,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,4,
60, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
61, , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , ,1,
62, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
63, , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,1,
64, , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,1,
65, , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,1,
66, , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,1,
67, , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , ,1,
68, , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , ,1,
69, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
7, , , , , , , ,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, , ,PASS, ,PASS,FAIL,FAIL, ,FAIL,FAIL,FAIL, ,PASS,5,
70, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
71, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
72, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
73, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
74, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
75, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
76, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
77, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
78, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
79, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
8, , , , , , , ,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, , ,PASS, ,PASS,FAIL,FAIL, ,FAIL,FAIL,FAIL, ,PASS,5,
80, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
81, , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,1,
82, , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,1,
83, , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,1,
84, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
85, , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,1,
86, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
87, , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , ,1,
88, , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , ,1,
89, , , , ,FAIL, ,PASS, , , , , , , , , ,PASS, , , , , , ,FAIL,PASS,FAIL, , ,3,
9, , , , , , , ,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, , ,EXC, ,EXC,EXC,EXC, ,EXC,EXC,EXC, ,EXC,15,
90, , , , ,FAIL, ,FAIL, , , , , , , , , ,PASS, , , , , , ,FAIL,PASS,PASS, , ,3,
91, , , , ,FAIL, ,FAIL, , , , , , , , , ,FAIL, , , , , , ,FAIL,FAIL,FAIL, , ,6,
92, , , , ,FAIL, ,FAIL, , , , , , , , , ,PASS, , , , , , ,FAIL,PASS,PASS, , ,3,
93, , , , ,PASS, ,FAIL, , , , , , , , , ,PASS, , , , , , ,PASS,PASS,PASS, , ,1,
94, , , , ,FAIL, ,FAIL, , , , , , , , , ,FAIL, , , , , , ,FAIL,FAIL,FAIL, , ,6,
95, , , , ,FAIL, ,FAIL, , , , , , , , , ,FAIL, , , , , , ,PASS,FAIL,FAIL, , ,5,
96, , , , ,FAIL, ,PASS, , , , , , , , , ,PASS, , , , , , ,FAIL,PASS,PASS, , ,2,
97, , , , ,FAIL, ,FAIL, , , , , , , , , ,FAIL, , , , , , ,PASS,FAIL,FAIL, , ,5,
98, , , , ,FAIL, , , , , , , , , , , , , , , , , , ,FAIL, , , , ,2,
99, , , , ,FAIL, ,PASS, , , , , , , , , ,PASS, , , , , , , ,PASS,FAIL, , ,2,
