Mutant,org.apache.commons.math3.distribution.FDistributionTest[testDfAccessors],org.apache.commons.math3.distribution.FDistributionTest[testInverseCumulativeProbabilityExtremes],org.apache.commons.math3.distribution.FDistributionTest[testIsSupportLowerBoundInclusive],org.apache.commons.math3.distribution.FDistributionTest[testIsSupportUpperBoundInclusive],org.apache.commons.math3.distribution.UniformRealDistributionTest[testGetUpperBound],org.apache.commons.math3.distribution.UniformRealDistributionTest[testMeanVariance],org.apache.commons.math3.distribution.UniformRealDistributionTest[testConsistency],org.apache.commons.math3.distribution.UniformRealDistributionTest[testIsSupportUpperBoundInclusive],org.apache.commons.math3.distribution.FDistributionTest[testCumulativeProbabilityExtremes],org.apache.commons.math3.distribution.FDistributionTest[testMoments],org.apache.commons.math3.distribution.FDistributionTest[testDensities],org.apache.commons.math3.distribution.FDistributionTest[testIllegalArguments],org.apache.commons.math3.distribution.FDistributionTest[testConsistency],org.apache.commons.math3.distribution.UniformRealDistributionTest[testPreconditions2],org.apache.commons.math3.distribution.UniformRealDistributionTest[testIsSupportLowerBoundInclusive],org.apache.commons.math3.distribution.UniformRealDistributionTest[testIllegalArguments],org.apache.commons.math3.stat.descriptive.AggregateSummaryStatisticsTest[testAggregate],org.apache.commons.math3.stat.inference.OneWayAnovaTest[testAnovaPValue],org.apache.commons.math3.distribution.UniformRealDistributionTest[testDensities],org.apache.commons.math3.distribution.UniformRealDistributionTest[testCumulativeProbabilities],org.apache.commons.math3.distribution.FDistributionTest[testCumulativeProbabilities],org.apache.commons.math3.stat.inference.TestUtilsTest[testOneWayAnovaUtils],org.apache.commons.math3.distribution.FDistributionTest[testMath785],org.apache.commons.math3.distribution.FDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math3.distribution.UniformRealDistributionTest[testGetLowerBound],org.apache.commons.math3.distribution.FDistributionTest[testPreconditions],org.apache.commons.math3.distribution.UniformRealDistributionTest[testPreconditions1],org.apache.commons.math3.stat.descriptive.AggregateSummaryStatisticsTest[testAggregationConsistency],org.apache.commons.math3.util.MathUtilsTest[testPermutedArrayHash],org.apache.commons.math3.distribution.UniformRealDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math3.distribution.FDistributionTest[testLargeDegreesOfFreedom],org.apache.commons.math3.distribution.UniformRealDistributionTest[testSampling],org.apache.commons.math3.stat.inference.OneWayAnovaTest[testAnovaTest],org.apache.commons.math3.optimization.fitting.PolynomialFitterTest[testFit],org.apache.commons.math3.distribution.FDistributionTest[testSmallDegreesOfFreedom],org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizerTest[testCircleFitting2],org.apache.commons.math3.distribution.FDistributionTest[testSampling],org.apache.commons.math3.distribution.UniformRealDistributionTest[testDensityIntegrals],org.apache.commons.math3.distribution.FDistributionTest[testDensityIntegrals],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test7],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test4],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test2],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test8],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test6],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test5],org.apache.commons.math3.distribution.FDistribution_ESTest[test3],org.apache.commons.math3.distribution.FDistribution_ESTest[test2],org.apache.commons.math3.distribution.FDistribution_ESTest[test1],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test3],org.apache.commons.math3.distribution.FDistribution_ESTest[test5],org.apache.commons.math3.distribution.FDistribution_ESTest[test0],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test0],org.apache.commons.math3.distribution.FDistribution_ESTest[test6],org.apache.commons.math3.distribution.UniformRealDistribution_ESTest[test1],org.apache.commons.math3.distribution.FDistribution_ESTest[test4],Total,Equiv?
133,FAIL, , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, , , , ,4,
134,FAIL, , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, ,PASS, , ,4,
135, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,PASS, ,PASS, , ,0,
136, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, ,PASS, , ,3,
137, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , ,PASS, , ,PASS, ,FAIL, , ,2,
138, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , ,PASS, , ,PASS, ,FAIL, , ,2,
139, , , , , , , , , ,PASS, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , ,PASS, , ,PASS, ,FAIL, , ,1,
14,EXC,EXC,EXC,EXC, , , , ,EXC,EXC,EXC,EXC,EXC, , , , ,EXC, , ,EXC,EXC,EXC,EXC, ,EXC, , , , ,EXC, ,EXC, ,EXC, ,EXC, ,EXC, , , , , , ,EXC,EXC,EXC, ,PASS,EXC, ,EXC, , ,25,
140, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, ,FAIL, , ,4,
141, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, ,FAIL, , ,4,
142, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, ,PASS, , ,3,
143, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , ,PASS, , ,PASS, ,PASS, , ,1,
144, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, ,PASS, , ,3,
145, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , ,PASS, , ,PASS, ,FAIL, , ,2,
146, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , ,FAIL, , ,PASS, , , , ,2,
147, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, , , , ,3,
148, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, , , , ,3,
149, , , , , , , , , ,FAIL, , , , , , , , , , , , ,FAIL,PASS, , , , , , ,EXC, , , , , ,PASS, , , , , , , , , , ,FAIL, , ,EXC, , , , ,5,
15,PASS,PASS,PASS,PASS, , , , ,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, , ,PASS,PASS,PASS,PASS, ,FAIL, , , , ,PASS, ,PASS, ,PASS, ,PASS, ,PASS, , , , , , ,PASS,PASS,PASS, ,PASS,PASS, ,PASS, , ,1,
150, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, , , , ,3,
151, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, , , , ,3,
152, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, , , , ,3,
153, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, , , , ,3,
154, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, , , , ,3,
155, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, , , , ,3,
156, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , ,FAIL, , ,FAIL, , , , ,3,
157, , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , ,FAIL, , ,2,
158, , , , , , , , , ,PASS, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,PASS, ,PASS, , ,0,
159, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,FAIL, ,PASS, , ,2,
16,PASS,PASS,PASS,PASS, , , , ,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, , ,PASS,PASS,PASS,PASS, ,PASS, , , , ,PASS, ,PASS, ,PASS, ,PASS, ,PASS, , , , , , ,PASS,PASS,PASS, ,FAIL,PASS, ,PASS, , ,1,
160, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,FAIL, ,PASS, , ,2,
161, , , , , , , , , ,PASS, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,PASS, ,PASS, , ,0,
162, , , , , , , , , ,PASS, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,PASS, ,PASS, , ,0,
163, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,EXC, , , , , , ,PASS, , , ,PASS, ,EXC, , , , , , , , , , , , , ,EXC, ,PASS, , ,4,
164, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,FAIL, ,PASS, , ,2,
165, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,PASS, ,PASS, , ,1,
166, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,PASS, ,PASS, , ,1,
167, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,PASS, ,PASS, , ,1,
168, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,FAIL, ,PASS, , ,2,
169, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,FAIL, ,PASS, , ,2,
17,EXC,EXC,EXC,EXC, , , , ,EXC,EXC,EXC,EXC,EXC, , , , ,EXC, , ,EXC,EXC,EXC,EXC, ,EXC, , , , ,EXC, ,EXC, ,EXC, ,EXC, ,EXC, , , , , , ,EXC,EXC,EXC, ,FAIL,EXC, ,EXC, , ,26,
170, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,FAIL, ,PASS, , ,2,
171, , , , , , , , , ,PASS, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,PASS, ,PASS, , ,0,
172, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,FAIL, ,PASS, , ,2,
173, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , ,PASS, ,PASS, , ,1,
174, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , , , ,FAIL, , , , ,2,
175, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , , , ,PASS, , , , ,1,
176, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , , , ,PASS, , , , ,1,
177, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , , , ,FAIL, , , , ,2,
178, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,EXC, , , , , , ,PASS, , , , , ,EXC, , , , , , , , , , , , , ,PASS, , , , ,3,
179, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , , , ,PASS, , , , ,1,
18,EXC,EXC,EXC,EXC, , , , ,EXC,EXC,EXC,EXC,EXC, , , , ,EXC, , ,EXC,EXC,EXC,EXC, ,EXC, , , , ,EXC, ,EXC, ,EXC, ,EXC, ,EXC, , , , , , ,EXC,EXC,EXC, ,FAIL,EXC, ,EXC, , ,26,
180, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , , , ,FAIL, , , , ,2,
181, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,EXC, , , , , , ,PASS, , , , , ,EXC, , , , , , , , , , , , , ,EXC, , , , ,4,
182, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , , , ,FAIL, , , , ,2,
183, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,EXC, , , , , , ,PASS, , , , , ,EXC, , , , , , , , , , , , , ,EXC, , , , ,4,
184, , , , , , , , , ,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , , , ,EXC, , , , ,2,
