Mutant,org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testTrivial],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testQRColumnsPermutation],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testIllConditioned],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testInconsistentEquations],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testOneSet],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testRedundantEquations],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testQRColumnsPermutation],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testTwoSets],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testMoreEstimatedParametersUnsorted],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testIllConditioned],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testInconsistentEquations],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testRedundantEquations],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testTwoSets],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testMoreEstimatedParametersSimple],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testMoreEstimatedParametersUnsorted],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testNonInversible],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testCircleFitting],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testBoundParameters],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testMoreEstimatedParametersSimple],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testOneSet],org.apache.commons.math.estimation.MinpackTest[testMinpackRosenbrok],org.apache.commons.math.estimation.MinpackTest[testMinpackBox3Dimensional],org.apache.commons.math.estimation.MinpackTest[testMinpackHelicalValley],org.apache.commons.math.estimation.MinpackTest[testMinpackFreudensteinRoth],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testTrivial],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testMath199],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testControlParameters],org.apache.commons.math.estimation.MinpackTest[testMinpackJennrichSampson],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testNonInversible],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testCircleFittingBadInit],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testMaxIterations],org.apache.commons.math.estimation.MinpackTest[testMinpackLinearFullRank],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testNoDependency],org.apache.commons.math.estimation.MinpackTest[testMinpackLinearRank1ZeroColsAndRows],org.apache.commons.math.estimation.MinpackTest[testMinpackPowellSingular],org.apache.commons.math.estimation.MinpackTest[testMinpackBard],org.apache.commons.math.estimation.MinpackTest[testMinpackLinearRank1],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testNoDependency],org.apache.commons.math.estimation.MinpackTest[testMinpackChebyquad],org.apache.commons.math.estimation.MinpackTest[testMinpackOsborne1],org.apache.commons.math.estimation.MinpackTest[testMinpackKowalikOsborne],org.apache.commons.math.estimation.MinpackTest[testMinpackMeyer],org.apache.commons.math.estimation.GaussNewtonEstimatorTest[testCircleFittingBadInit],org.apache.commons.math.estimation.MinpackTest[testMinpackWatson],org.apache.commons.math.estimation.MinpackTest[testMinpackOsborne2],org.apache.commons.math.estimation.LevenbergMarquardtEstimatorTest[testCircleFitting],org.apache.commons.math.estimation.MinpackTest[testMinpackBrownDennis],org.apache.commons.math.estimation.MinpackTest[testMinpackBrownAlmostLinear],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test08],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test07],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test05],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test09],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test06],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test02],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test11],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test10],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test03],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test04],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test00],org.apache.commons.math.estimation.AbstractEstimator_ESTest[test01],Total,Equiv?
117, , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,2,
118, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,1,
119, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , ,0,
12, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS, , , ,PASS, ,PASS, ,PASS, , , , ,0,
120, , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,2,
121, , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,2,
122, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,1,
123, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , ,PASS, , , , , , , , , , ,1,
124, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , ,PASS, , , ,PASS, , , , ,3,
125, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
126, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , ,FAIL, , , ,EXC, , , , ,5,
127, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
128, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,FAIL, , , , , ,PASS, , , ,PASS, , , , ,1,
129, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
13, , , , , ,EXC,EXC,EXC,EXC,EXC,EXC, , , , , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC, , , ,EXC, ,PASS, ,EXC, , , , ,36,
130, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,PASS, , , , ,2,
131, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,PASS, , , , ,3,
132, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
133, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,PASS, , , , ,3,
134, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, , , ,PASS, , , , ,0,
135, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, , , ,PASS, , , , ,0,
136, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
137, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
138, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
139, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
14, , , , , ,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , , , , ,EXC,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,EXC, ,FAIL, ,EXC, , , , ,36,
140, , , , , , , , , , , , , , , , , ,TIME, , , , , , , , , , ,TIME, , , , , , , , , , , , , , , , ,TIME, , , , , ,PASS, , , ,PASS, , , , ,3,
141, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, , , ,PASS, , , , ,0,
142, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, , , ,PASS, , , , ,0,
143, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,PASS, , , , ,3,
144, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
145, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
146, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
147, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
148, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,PASS, , , , ,3,
149, , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , ,FAIL, , , ,PASS, , , , ,4,
15, , , , , ,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , , , , ,EXC,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,PASS, ,FAIL, ,PASS, , , , ,34,
150, , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , ,FAIL, , , ,PASS, , , , ,4,
151, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,4,
152, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,PASS, , , , ,3,
153, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , ,PASS, , , ,PASS, , , , ,0,
154, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,PASS, , , , ,3,
155, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
156, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
157, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
158, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,EXC, , , , ,3,
159, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , ,PASS, , , ,PASS, , , , ,3,
16, , , , , ,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , , , , ,EXC,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,EXC, ,FAIL, ,EXC, , , , ,36,
160, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,EXC, , , , ,4,
161, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,PASS, , , , ,3,
162, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,PASS, , , , ,3,
163, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,EXC, , , , ,4,
164, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , ,3,
165, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,3,
166, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , ,3,
167, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , ,3,
168, , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , ,PASS, , , , ,2,
169, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,PASS, , , , ,2,
17, , , , , ,FAIL,FAIL,FAIL,FAIL,FAIL,PASS, , , , , , ,EXC,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,PASS, ,FAIL, ,PASS, , , , ,34,
170, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,PASS, , , , ,3,
171, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , ,PASS, , , , ,3,
172, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,EXC, , , , ,3,
173, , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , ,PASS, , , , , , , , ,3,
174, , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , ,PASS, , , , , , , , ,3,
175, , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,EXC, , , , , ,FAIL, , , , , , , , ,4,
176, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , ,0,
177, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , ,0,
178, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , ,1,
179, , , , , , , , , , , , , , , , , ,EXC, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , ,EXC, , ,EXC, , , , , ,PASS, , , , , ,3,
18, , , , , ,EXC,EXC,EXC,EXC,EXC,EXC, , , , , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC, , , ,EXC, ,PASS, ,EXC, , , , ,36,
180, , , , , , , , , , , , , , , , , ,PASS, , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , ,FAIL, , ,PASS, , , , , ,PASS, , , , , ,2,
181, , , , , , , , , , , , , , , , , ,EXC, , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , ,EXC, , ,EXC, , , , , ,FAIL, , , , , ,5,
182, , , , , , , , , , , , , , , , , ,PASS, , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , , , , ,FAIL, , , , , ,2,
183, , , , , , , , , , , , , , , , , ,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , , , , ,PASS, , , , , ,0,
184, , , , , , , , , , , , , , , , , ,EXC, , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , ,EXC, , ,EXC, , , , , ,FAIL, , , , , ,5,
185, , , , , , , , , , , , , , , , , ,EXC, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , ,EXC, , ,EXC, , , , , ,PASS, , , , , ,3,
186, , , , , , , , , , , , , , , , , ,PASS, , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , , , , ,FAIL, , , , , ,2,
187, , , , , , , , , , , , , , , , , ,EXC, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , ,EXC, , ,EXC, , , , , ,PASS, , , , , ,3,
