Mutant,com.google.javascript.jscomp.ProcessCommonJSModulesTest[testGuessModuleName],com.google.javascript.jscomp.CompilerTest[testCommonJSMissingRequire],com.google.javascript.jscomp.ProcessCommonJSModulesTest[testDash],com.google.javascript.jscomp.ProcessCommonJSModulesTest[testVarRenaming],com.google.javascript.jscomp.CompilerTest[testCommonJSProvidesAndRequire],com.google.javascript.jscomp.ProcessCommonJSModulesTest[testModuleName],com.google.javascript.jscomp.ProcessCommonJSModulesTest[testWithoutExports],com.google.javascript.jscomp.CommandLineRunnerTest[testProcessCJS],com.google.javascript.jscomp.CommandLineRunnerTest[testTransformAMDAndProcessCJS],com.google.javascript.jscomp.ProcessCommonJSModulesTest[testExports],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test5],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test4],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test3],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test2],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test6],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test7],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test0],com.google.javascript.jscomp.ProcessCommonJSModules_ESTest[test1],Total,Equiv?
15,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, , ,2,
150, , , , , , , , , ,EXC, , , , , , , , ,1,
151, , , , , , , , , ,FAIL, , , , , , , , ,1,
152, , , , , , , , , ,FAIL, , , , , , , , ,1,
153, ,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, , , , , , , , ,6,
154, ,PASS,EXC, ,PASS,EXC,EXC, , ,EXC, , , , , , , , ,4,
155, ,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, , , , , , , , ,6,
156, ,TIME,TIME, ,TIME,TIME,TIME, , ,TIME, , , , , , , , ,6,
157, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
158, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,PASS,PASS, , ,7,
159, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
16, ,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS,PASS,PASS, , , , ,0,
160, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,PASS,PASS, , ,7,
161, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,PASS,PASS, , ,7,
162, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,PASS,PASS, , ,7,
163, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,PASS,PASS, , ,7,
164, ,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL, , , , ,PASS,PASS, , ,4,
165, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,PASS,PASS, , ,7,
166, , ,FAIL, , , , ,FAIL,FAIL,FAIL, , , , , , , , ,4,
167, , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , ,0,
168, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL, , , , ,PASS,PASS, , ,5,
169, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
17, ,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS,PASS,PASS, , , , ,0,
170, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL, , , , ,PASS,PASS, , ,5,
171, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
172, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
173, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
174, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL, , , , ,PASS,PASS, , ,5,
175, ,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, , ,1,
176, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
177, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,PASS,PASS, , ,7,
178, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
179, , ,FAIL,FAIL, ,FAIL,FAIL, , ,FAIL, , , , , ,PASS, , ,5,
18, ,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS,PASS,PASS, , , , ,0,
180, , ,FAIL,FAIL, ,FAIL,FAIL, , ,FAIL, , , , , ,PASS, , ,5,
181, , ,PASS,PASS, ,PASS,PASS, , ,PASS, , , , , ,PASS, , ,0,
19, ,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS,PASS,PASS, , , , ,0,
2,PASS,EXC, , ,EXC, , ,FAIL,FAIL, , , , , , , ,PASS,PASS,4,
20, ,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS,PASS,PASS, , , , ,0,
21, ,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS,PASS,PASS, , , , ,0,
22, , , , , , , , , , , , , , , , , , ,0,
23, , , , , , , , , , , , , , , , , , ,0,
24, ,PASS,PASS, ,PASS,PASS,PASS, , ,PASS, ,PASS,PASS,PASS, , , , ,0,
25, ,PASS,PASS, ,PASS,FAIL,PASS, , ,PASS, ,FAIL,PASS,FAIL, , , , ,3,
26, ,PASS,PASS, ,PASS,FAIL,FAIL, , ,PASS, ,FAIL,PASS,FAIL, , , , ,4,
27, ,PASS,PASS, ,PASS,FAIL,PASS, , ,PASS, ,FAIL,PASS,FAIL, , , , ,3,
28, ,PASS,PASS, ,PASS,FAIL,PASS, , ,PASS, ,FAIL,PASS,PASS, , , , ,2,
29, ,PASS,PASS, ,PASS,FAIL,PASS, , ,PASS, ,PASS,PASS,FAIL, , , , ,2,
3,PASS,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC,PASS, , , ,FAIL,EXC,PASS,PASS,11,
30, ,PASS,PASS, ,PASS,FAIL,FAIL, , ,PASS, ,PASS,PASS,PASS, , , , ,2,
31, , , , , ,EXC, , , , , ,EXC, ,PASS, , , , ,2,
32, ,EXC,EXC, ,EXC,FAIL,EXC, , ,EXC, ,FAIL,FAIL, , , , , ,8,
33,FAIL,EXC,FAIL,FAIL,EXC,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , , ,PASS,PASS, , ,11,
34,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS, , ,1,
35,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS, , ,1,
36,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , , ,PASS,PASS, , ,2,
37,FAIL,EXC,FAIL,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC,FAIL, , , ,PASS,PASS, , ,11,
38,FAIL,EXC,FAIL,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC,FAIL, , , ,PASS,PASS, , ,11,
39,FAIL,EXC,FAIL,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC,FAIL, , , ,PASS,PASS, , ,11,
4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS,PASS,PASS,0,
40,PASS,EXC,FAIL,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC,PASS, , , ,PASS,PASS, , ,9,
41,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , , ,PASS,PASS, , ,2,
42,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , ,PASS,PASS, , ,0,
43,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , , ,PASS,PASS, , ,2,
44,PASS,EXC,FAIL,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC,PASS, , , ,PASS,PASS, , ,9,
45,FAIL, , , , , , , , , ,FAIL, , , , , , , ,2,
46,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC,EXC, , , ,FAIL,EXC, , ,13,
47, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,PASS,EXC, , ,10,
48, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,PASS,EXC, , ,10,
49, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
5,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , , ,PASS,PASS,PASS,PASS,2,
50, ,FAIL,FAIL,PASS,FAIL,FAIL,FAIL, , ,FAIL, , , , , ,PASS, , ,6,
51, ,FAIL,FAIL,PASS,FAIL,FAIL,FAIL, , ,FAIL, , , , , ,PASS, , ,6,
52, ,FAIL,FAIL,PASS,FAIL,FAIL,FAIL, , ,FAIL, , , , , ,PASS, , ,6,
53, ,FAIL,FAIL,PASS,FAIL,FAIL,FAIL, , ,FAIL, , , , , ,PASS, , ,6,
54, ,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS, , , , , ,PASS, , ,0,
55, ,FAIL,FAIL,PASS,FAIL,FAIL,FAIL, , ,FAIL, , , , , ,PASS, , ,6,
56, ,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS, , , , , ,PASS, , ,0,
57, ,FAIL,FAIL,PASS,FAIL,FAIL,FAIL, , ,FAIL, , , , , ,PASS, , ,6,
58, ,PASS,PASS,PASS,PASS,PASS,PASS, , ,PASS, , , , , ,PASS, , ,0,
59, ,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL, , , , ,PASS,PASS, , ,6,
6,PASS,EXC,PASS,PASS,EXC,PASS,PASS,FAIL,FAIL,PASS,PASS, , , ,PASS,PASS,PASS,PASS,4,
60, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
61, ,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL, , , , ,PASS,PASS, , ,6,
62, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, , ,0,
63, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, , ,0,
64, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
65, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, , ,0,
66, ,FAIL,FAIL, ,FAIL,FAIL,FAIL, , ,FAIL, , , , , ,PASS, , ,6,
67, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
68, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
69, ,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL, , , , ,PASS,PASS, , ,6,
7, ,EXC,FAIL,FAIL,EXC,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,FAIL,PASS, , ,10,
70, ,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, , ,1,
71, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
72, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
73, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
74, ,FAIL,FAIL, ,FAIL,FAIL,FAIL, , ,FAIL, , , , , , , , ,6,
75, ,FAIL,FAIL, ,FAIL,FAIL,FAIL, , ,FAIL, , , , , , , , ,6,
76, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
77, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
78, ,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL, , , , ,PASS,PASS, , ,6,
79, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, , ,0,
8,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC,FAIL, , , ,FAIL,EXC, , ,13,
80, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
81, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
82, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
83, ,FAIL,FAIL, ,FAIL,FAIL,FAIL, , ,FAIL, , , , , , , , ,6,
84, ,EXC,FAIL,FAIL,EXC,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,FAIL,PASS, , ,10,
85, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,PASS,EXC, , ,10,
86, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,PASS,EXC, , ,10,
87, ,EXC,FAIL,FAIL,EXC,FAIL,FAIL,FAIL,FAIL,FAIL, , , , ,FAIL,PASS, , ,10,
88, ,PASS,PASS, , , , ,PASS, ,FAIL, , , , , ,PASS, , ,1,
89, ,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL, , , , ,PASS,PASS, , ,3,
9, ,EXC, , ,EXC, , ,FAIL,FAIL, , , , , , , , ,PASS,4,
90, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
91, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , , , ,PASS,PASS, , ,1,
92, ,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL, , , , ,PASS,PASS, , ,3,
93, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, , ,0,
94, ,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC, , , , ,FAIL,EXC, , ,11,
95, ,PASS,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL, , , , ,PASS,PASS, , ,3,
96, , , , , , , , , ,FAIL, , , , , , , , ,1,
97, ,FAIL,FAIL, ,FAIL,FAIL,FAIL, , ,FAIL, , , , , , , , ,6,
98, ,FAIL,FAIL, ,FAIL,FAIL,FAIL, , ,FAIL, , , , , , , , ,6,
99, ,EXC,EXC, ,EXC,EXC,EXC, , ,EXC, , , , , , , , ,6,
