Mutant,com.google.javascript.jscomp.CheckGlobalThisTest[testIssue182b],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction4],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction8],com.google.javascript.jscomp.CheckGlobalThisTest[testPropertyOfMethod],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis2],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis3],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis4],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis5],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis7],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticMethod1],com.google.javascript.jscomp.CheckGlobalThisTest[testInnerFunction1],com.google.javascript.jscomp.CheckGlobalThisTest[testInnerFunction2],com.google.javascript.jscomp.CheckGlobalThisTest[testInnerFunction3],com.google.javascript.jscomp.CheckGlobalThisTest[testIssue182a],com.google.javascript.jscomp.CheckGlobalThisTest[testIssue182c],com.google.javascript.jscomp.CheckGlobalThisTest[testLendsAnnotation1],com.google.javascript.jscomp.CheckGlobalThisTest[testLendsAnnotation2],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction2],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction5],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction6],com.google.javascript.jscomp.CheckGlobalThisTest[testThisJSDoc4],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis1],com.google.javascript.jscomp.CheckGlobalThisTest[testGlobalThis6],com.google.javascript.jscomp.CheckGlobalThisTest[testConstructor1],com.google.javascript.jscomp.CheckGlobalThisTest[testConstructor2],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunctionInMethod1],com.google.javascript.jscomp.CheckGlobalThisTest[testMethod1],com.google.javascript.jscomp.CheckGlobalThisTest[testMethod2],com.google.javascript.jscomp.CheckGlobalThisTest[testInterface1],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction3],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction7],com.google.javascript.jscomp.CheckGlobalThisTest[testThisJSDoc2],com.google.javascript.jscomp.CheckGlobalThisTest[testThisJSDoc3],com.google.javascript.jscomp.CheckGlobalThisTest[testThisJSDoc5],com.google.javascript.jscomp.CheckGlobalThisTest[testConstructor3],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticMethod2],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticMethod3],com.google.javascript.jscomp.CheckGlobalThisTest[testMethodInStaticFunction],com.google.javascript.jscomp.CheckGlobalThisTest[testMethod3],com.google.javascript.jscomp.CheckGlobalThisTest[testMethod4],com.google.javascript.jscomp.CheckGlobalThisTest[testIssue182d],com.google.javascript.jscomp.CheckGlobalThisTest[testLendsAnnotation3],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunctionInMethod2],com.google.javascript.jscomp.CheckGlobalThisTest[testInnerFunction4],com.google.javascript.jscomp.CheckGlobalThisTest[testOverride1],com.google.javascript.jscomp.CommandLineRunnerTest[testCheckUndefinedProperties1],com.google.javascript.jscomp.CommandLineRunnerTest[testCheckSymbolsOnForVerbose],com.google.javascript.jscomp.CheckGlobalThisTest[testThisJSDoc1],com.google.javascript.jscomp.CommandLineRunnerTest[testTypeCheckingOnWithVerbose],com.google.javascript.jscomp.CommandLineRunnerTest[testCheckUndefinedProperties2],com.google.javascript.jscomp.CommandLineRunnerTest[testCheckUndefinedProperties3],com.google.javascript.jscomp.CommandLineRunnerTest[testTypeCheckOverride1],com.google.javascript.jscomp.CommandLineRunnerTest[testCheckSymbolsOverrideForVerbose],com.google.javascript.jscomp.CommandLineRunnerTest[testIssue115],com.google.javascript.jscomp.CommandLineRunnerTest[testDebugFlag4],com.google.javascript.jscomp.CommandLineRunnerTest[testExternsLifting2],com.google.javascript.jscomp.CommandLineRunnerTest[testIssue81],com.google.javascript.jscomp.CommandLineRunnerTest[testDebugFlag3],com.google.javascript.jscomp.CommandLineRunnerTest[testForwardDeclareDroppedTypes],com.google.javascript.jscomp.CheckGlobalThisTest[testStaticFunction1],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test10],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test00],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test12],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test02],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test07],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test03],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test14],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test08],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test06],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test13],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test11],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test04],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test05],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test01],com.google.javascript.jscomp.CheckGlobalThis_ESTest[test09],Total,Equiv?
109,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , , , , ,PASS,PASS,PASS, ,PASS,FAIL, , ,PASS, ,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,FAIL, ,PASS, ,PASS,PASS, ,PASS, , ,PASS,PASS,PASS,PASS,6,
11,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,FAIL,EXC,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,EXC, ,PASS, ,PASS,EXC,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,60,
110, , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , ,FAIL, , , , ,FAIL,FAIL, , , , , , ,FAIL, , , , , , , , , , , , , , , , , ,FAIL, , , , , , ,FAIL, , , , , , ,7,
111, , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , ,FAIL, , , , ,FAIL,FAIL, , , , , , ,FAIL, , , , , , , , , , , , , , , , , ,PASS, , , , , , ,FAIL, , , , , , ,6,
112, , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , ,FAIL, , , , ,FAIL,FAIL, , , , , , ,FAIL, , , , , , , , , , , , , , , , , ,PASS, , , , , , ,PASS, , , , , , ,5,
113, , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , ,PASS, , , , ,PASS,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , ,FAIL, , , , , , ,FAIL, , , , , , ,2,
114, , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , ,PASS, , , , ,PASS,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , ,FAIL, , , , , , ,PASS, , , , , , ,1,
115, , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , ,PASS, , , , ,PASS,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , ,PASS, , , , , , ,FAIL, , , , , , ,1,
116, , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , ,FAIL, , , , ,FAIL,FAIL, , , , , , ,FAIL, , , , , , , , , , , , , , , , , ,FAIL, , , , , , ,PASS, , , , , , ,6,
117,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS, ,PASS, , ,PASS,PASS,PASS,PASS,0,
118,FAIL,FAIL,FAIL,FAIL, , , , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, ,FAIL, ,FAIL,FAIL, ,FAIL, , ,FAIL,FAIL,FAIL,FAIL,21,
119,FAIL,FAIL,FAIL,FAIL, , , , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,FAIL, ,FAIL, ,FAIL,FAIL, ,FAIL, , ,FAIL,FAIL,FAIL,FAIL,22,
12,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , ,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , ,FAIL,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS, ,PASS,FAIL, ,PASS,PASS,PASS,PASS,11,
120,FAIL,FAIL,FAIL,FAIL, , , , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, ,FAIL, ,FAIL,FAIL, ,FAIL, , ,FAIL,FAIL,FAIL,FAIL,21,
121,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS, ,FAIL, , ,PASS,PASS,PASS,PASS,1,
122,FAIL,FAIL,FAIL,FAIL, , , , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, ,FAIL, ,FAIL,FAIL, ,PASS, , ,FAIL,FAIL,FAIL,FAIL,20,
123,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , , , , ,PASS,PASS,PASS, ,PASS,FAIL, , ,PASS, ,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,FAIL, ,PASS, ,PASS,PASS, ,PASS, , ,PASS,PASS,PASS,PASS,6,
124, , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , ,FAIL, , , , ,FAIL,FAIL, , , , , , ,FAIL, , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , ,6,
125, , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , ,FAIL, , , , ,FAIL,FAIL, , , , , , ,FAIL, , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , ,6,
126,EXC,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS,PASS,EXC,PASS,EXC,EXC,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, , , ,PASS, ,PASS,PASS, ,PASS, , ,PASS,PASS,PASS,PASS,5,
127,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, , , ,PASS, ,PASS,PASS, ,PASS, , ,PASS,FAIL,PASS,PASS,2,
128,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS, ,PASS,PASS, , ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, , , ,EXC, ,EXC,EXC, ,EXC, , ,EXC,FAIL,EXC,EXC,8,
129,PASS, , , , , , , , , , , , ,PASS, ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
13,EXC,EXC,EXC,EXC, , , , , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL, , ,FAIL,FAIL,EXC,EXC,EXC,FAIL,EXC,EXC,FAIL,FAIL,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL, , ,FAIL,FAIL, ,FAIL,PASS, ,FAIL,FAIL, , ,FAIL,PASS,EXC, ,PASS, ,EXC, ,PASS,PASS, ,EXC, , ,EXC,FAIL,PASS,EXC,50,
130,EXC, , , , , , , , , , , , ,EXC, ,EXC,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,
131,PASS, , , , , , , , , , , , ,PASS, ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
132,EXC, , , , , , , , , , , , ,EXC, ,EXC,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
133, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
134, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
135, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
136,EXC, , , , , , , , , , , , ,EXC, ,EXC,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,
137,EXC, , , , , , , , , , , , ,EXC, ,EXC,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
138,PASS, , , , , , , , , , , , ,PASS, ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
139,PASS, , , , , , , , , , , , ,PASS, ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
14,PASS,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , ,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL, , ,FAIL,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS, ,PASS, , ,PASS,PASS,PASS,PASS,10,
140,EXC, , , , , , , , , , , , ,EXC, ,EXC,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
141,EXC, , , , , , , , , , , , ,EXC, ,EXC,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
142,EXC, , , , , , , , , , , , ,EXC, ,EXC,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
143, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,
