Mutant,org.apache.commons.lang.time.StopWatchTest[testBadStates],org.apache.commons.lang.time.StopWatchTest[testLang315],org.apache.commons.lang.time.StopWatchTest[testStopWatchSimpleGet],org.apache.commons.lang.time.StopWatchTest[testStopWatchSimple],org.apache.commons.lang.time.StopWatchTest[testStopWatchSuspend],org.apache.commons.lang.time.StopWatchTest[testStopWatchSplit],org.apache.commons.lang.time.StopWatch_ESTest[test13],org.apache.commons.lang.time.StopWatch_ESTest[test11],org.apache.commons.lang.time.StopWatch_ESTest[test10],org.apache.commons.lang.time.StopWatch_ESTest[test08],org.apache.commons.lang.time.StopWatch_ESTest[test09],org.apache.commons.lang.time.StopWatch_ESTest[test07],org.apache.commons.lang.time.StopWatch_ESTest[test05],org.apache.commons.lang.time.StopWatch_ESTest[test16],org.apache.commons.lang.time.StopWatch_ESTest[test02],org.apache.commons.lang.time.StopWatch_ESTest[test03],org.apache.commons.lang.time.StopWatch_ESTest[test14],org.apache.commons.lang.time.StopWatch_ESTest[test01],org.apache.commons.lang.time.StopWatch_ESTest[test12],org.apache.commons.lang.time.StopWatch_ESTest[test06],org.apache.commons.lang.time.StopWatch_ESTest[test15],org.apache.commons.lang.time.StopWatch_ESTest[test04],org.apache.commons.lang.time.StopWatch_ESTest[test00],Total,Equiv?
50,PASS,FAIL, ,FAIL,FAIL,FAIL,FAIL, , , , , ,PASS, , ,PASS, , , , , , , ,5,
51,PASS,PASS, ,FAIL,FAIL,FAIL,FAIL, , , , , ,PASS, , ,PASS, , , , , , , ,4,
52,PASS,PASS, ,PASS,PASS,PASS,PASS, , , , , ,PASS, , ,PASS, , , , , , , ,0,
53,PASS,FAIL, ,FAIL,FAIL,FAIL,FAIL, , , , , ,PASS, , ,PASS, , , , , , , ,5,
54,PASS,FAIL, ,PASS,PASS,PASS,PASS, , , , , ,PASS, , ,PASS, , , , , , , ,1,
55,PASS,PASS, ,FAIL,FAIL,FAIL,FAIL, , , , , ,PASS, , ,PASS, , , , , , , ,4,
56,PASS,FAIL, ,PASS,PASS,PASS,PASS, , , , , ,PASS, , ,PASS, , , , , , , ,1,
57,PASS, , ,FAIL,FAIL,FAIL,FAIL, , , , , , , , ,PASS, , , , , , , ,4,
58,PASS,PASS, ,PASS,PASS,PASS,PASS, , , , , ,PASS, , ,PASS, , , , , , , ,0,
59, , , ,PASS, , , , , , , , , , , , , , , , , , ,PASS,0,
6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
60, , , ,PASS, , , , , , , , , , , , , , , , , , ,PASS,0,
61, , , ,PASS, , , , , , , , , , , , , , , , , , ,PASS,0,
62, , , ,PASS, , , , , , , , , , , , , , , , , , ,PASS,0,
63, , , ,PASS, , , , , , , , , , , , , , , , , , ,PASS,0,
64, , , ,PASS, , , , , , , , , , , , , , , , , , ,PASS,0,
65, , , ,PASS, , , , , , , , , , , , , , , , , , ,PASS,0,
66, , , ,PASS, , , , , , , , , , , , , , , , , , ,PASS,0,
67,PASS, , , , ,PASS, , , ,PASS, ,PASS, ,PASS, , , , , , , , , ,0,
68,PASS, , , , ,EXC, , , ,PASS, ,EXC, ,EXC, , , , , , , , , ,3,
69,FAIL, , , , ,EXC, , , ,FAIL, ,EXC, ,EXC, , , , , , , , , ,5,
7,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC, ,15,
70,FAIL, , , , ,PASS, , , ,FAIL, ,PASS, ,PASS, , , , , , , , , ,2,
71,FAIL, , , , ,EXC, , , ,FAIL, ,EXC, ,EXC, , , , , , , , , ,5,
72,FAIL, , , , ,PASS, , , ,FAIL, ,PASS, ,PASS, , , , , , , , , ,2,
73,PASS, , , , ,EXC, , , ,PASS, ,EXC, ,EXC, , , , , , , , , ,3,
74,PASS, , , , , , , , ,PASS, , , , , , , , , , , , , ,0,
75, , , , , ,FAIL, , , , , ,PASS, ,FAIL, , , , , , , , , ,2,
76, , , , , ,EXC, , , , , ,EXC, ,EXC, , , , , , , , , ,3,
77,PASS, , , , ,PASS, , , , ,PASS,PASS, , , , , , , , , , , ,0,
78,PASS, , , , ,EXC, , , , ,PASS,EXC, , , , , , , , , , , ,2,
79,FAIL, , , , ,EXC, , , , ,FAIL,EXC, , , , , , , , , , , ,4,
8,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC, ,15,
80,FAIL, , , , ,PASS, , , , ,FAIL,PASS, , , , , , , , , , , ,2,
81,FAIL, , , , ,EXC, , , , ,FAIL,EXC, , , , , , , , , , , ,4,
82,FAIL, , , , ,PASS, , , , ,FAIL,PASS, , , , , , , , , , , ,2,
83,PASS, , , , ,EXC, , , , ,PASS,EXC, , , , , , , , , , , ,2,
84,PASS, , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
85, , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , ,0,
86, , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , ,0,
87, , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , ,0,
88, , , , , ,PASS, , , , , ,PASS, , , , , , , , , , , ,0,
89,PASS,PASS, , ,PASS, , ,PASS,PASS, , , ,PASS, , , ,PASS, , , , , , ,0,
9,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC, ,15,
90,PASS,EXC, , ,EXC, , ,EXC,PASS, , , ,EXC, , , ,EXC, , , , , , ,5,
91,FAIL,EXC, , ,EXC, , ,EXC,FAIL, , , ,EXC, , , ,EXC, , , , , , ,7,
92,FAIL,PASS, , ,PASS, , ,PASS,FAIL, , , ,PASS, , , ,PASS, , , , , , ,2,
93,FAIL,EXC, , ,EXC, , ,EXC,FAIL, , , ,EXC, , , ,EXC, , , , , , ,7,
94,FAIL,PASS, , ,PASS, , ,PASS,FAIL, , , ,PASS, , , ,PASS, , , , , , ,2,
95,PASS,EXC, , ,EXC, , ,EXC,PASS, , , ,EXC, , , ,EXC, , , , , , ,5,
96,PASS, , , , , , , ,PASS, , , , , , , , , , , , , , ,0,
97, ,PASS, , ,FAIL, , ,PASS, , , , ,PASS, , , ,PASS, , , , , , ,1,
98, ,FAIL, , ,EXC, , ,EXC, , , , ,PASS, , , ,PASS, , , , , , ,3,
99,PASS, , , ,PASS, , ,PASS, , , , , , , , , , ,PASS, , , , ,0,
