Mutant,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest[dimension2],org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest[testSmallDistances],org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest[testPerformClusterAnalysisDegenerate],org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest[testCertainSpace],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test0],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test1],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test4],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test2],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test3],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test6],org.apache.commons.math.stat.clustering.KMeansPlusPlusClusterer_ESTest[test5],Total,Equiv?
37,FAIL, ,PASS,PASS, , ,PASS, , , , ,1,
38,EXC, ,EXC,EXC,PASS,EXC,EXC,EXC,PASS,EXC, ,7,
39,FAIL, ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,1,
4,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,8,
40,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,0,
41,PASS, , ,PASS,PASS, ,PASS, , , , ,0,
42,EXC, ,FAIL,EXC, ,EXC,EXC,EXC, ,PASS, ,6,
43,FAIL, ,PASS,PASS, ,EXC,PASS,PASS, ,PASS, ,2,
44, ,EXC,EXC,EXC, ,EXC, ,EXC, ,EXC, ,6,
45,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,9,
46,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,8,
47,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,10,
48,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,EXC,10,
49,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,FAIL,EXC,EXC,11,
5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
50,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC,PASS,9,
51,EXC,EXC,PASS,EXC,PASS,EXC,PASS,EXC,PASS,EXC,EXC,7,
52,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
53,FAIL,PASS,FAIL,FAIL,PASS,EXC,PASS,EXC,FAIL,EXC,PASS,7,
54,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,PASS,8,
55,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,PASS,7,
56,FAIL,FAIL,EXC,FAIL,PASS,FAIL,EXC,FAIL,FAIL,FAIL,PASS,9,
57,FAIL,FAIL,PASS,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,PASS,7,
58,EXC,TIME,EXC,EXC,PASS,EXC,EXC,EXC,FAIL,EXC,PASS,9,
59,PASS,FAIL, ,PASS, ,PASS, ,PASS,PASS,PASS,PASS,1,
6,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
60,PASS,TIME, ,PASS, ,PASS, ,PASS,PASS,EXC,PASS,2,
61,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS,PASS,0,
62,EXC,EXC, ,EXC, ,EXC, ,EXC,PASS,EXC,EXC,7,
63,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS,PASS,0,
64,EXC,EXC, ,EXC, ,EXC, ,EXC,FAIL,EXC,EXC,8,
65,PASS,FAIL, ,PASS, ,PASS, ,PASS,PASS,PASS,EXC,2,
66,PASS,FAIL, ,PASS, ,PASS, ,PASS,PASS,PASS,PASS,1,
67,PASS,FAIL, ,PASS, ,PASS, ,PASS,PASS,PASS,EXC,2,
68,PASS,FAIL, ,PASS, ,PASS, ,PASS,PASS,PASS,PASS,1,
69,EXC,EXC, ,EXC, ,EXC, ,EXC,FAIL,EXC,EXC,8,
7,PASS,PASS,PASS,TIME,PASS,PASS,PASS,PASS,PASS,PASS, ,1,
70,EXC,EXC, ,EXC, ,EXC, ,EXC,PASS,EXC, ,6,
71,EXC,EXC, ,EXC, ,EXC, ,EXC,PASS,EXC, ,6,
72,PASS,FAIL, ,PASS, ,PASS, ,PASS,PASS,PASS, ,1,
73,PASS,TIME, ,PASS, ,PASS, ,PASS,PASS,PASS, ,1,
74,FAIL,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,1,
75,PASS,FAIL, ,PASS, ,PASS, ,PASS,PASS,PASS, ,1,
76,FAIL,TIME, ,PASS, ,PASS, ,PASS,PASS,PASS, ,2,
77,PASS,FAIL, ,PASS, ,PASS, ,PASS,PASS,PASS, ,1,
78,TIME,TIME, ,TIME, ,PASS, ,PASS,PASS,PASS, ,3,
79,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS,PASS,0,
8,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
80,TIME,TIME, ,PASS, ,PASS, ,PASS,PASS,EXC,PASS,3,
81,PASS,TIME, ,PASS, ,PASS, ,PASS,PASS,EXC,PASS,2,
82,PASS,TIME, ,PASS, ,PASS, ,PASS,PASS,PASS,PASS,1,
83,PASS,PASS, ,PASS, ,EXC, ,PASS,PASS,EXC,PASS,2,
84,EXC,EXC, ,EXC, ,EXC, ,EXC,PASS,EXC,EXC,7,
85,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS,PASS,0,
86,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS,EXC,1,
87,TIME,TIME, ,TIME, ,PASS, ,PASS,PASS,PASS,EXC,4,
88,TIME,TIME, ,TIME, ,PASS, ,PASS,PASS,PASS,PASS,3,
89,TIME,TIME, ,TIME, ,PASS, ,PASS,PASS,PASS,EXC,4,
9,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
90,TIME,TIME, ,TIME, ,PASS, ,PASS,PASS,PASS,PASS,3,
91,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS,EXC,1,
92,PASS,FAIL, ,PASS, ,PASS, ,PASS,PASS,EXC, ,2,
93,PASS,FAIL, ,PASS, ,PASS, ,PASS,PASS,PASS, ,1,
94,PASS,FAIL, ,PASS, ,PASS, ,PASS,PASS,PASS, ,1,
95,TIME,TIME, ,TIME, ,PASS, ,PASS,PASS,PASS, ,3,
96,PASS,PASS, ,PASS, ,PASS, ,PASS,PASS,EXC, ,1,
97,TIME,TIME, ,TIME, ,PASS, ,PASS,PASS,PASS, ,3,
98,PASS,FAIL, ,PASS, ,PASS, ,PASS,PASS,PASS, ,1,
99,EXC,EXC, ,EXC, ,EXC, ,EXC,FAIL,EXC, ,7,
