Mutant,org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testMath844],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testInitialGuess],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testNoError],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testUnsorted],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testPreconditions1],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[test1PercentError],org.apache.commons.math3.optimization.fitting.HarmonicFitterTest[testTinyVariationsData],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test1],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test0],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test4],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test5],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test2],org.apache.commons.math3.optimization.fitting.HarmonicFitter_ESTest[test3],Total,Equiv?
159,FAIL, ,EXC,EXC, ,EXC,EXC, , ,FAIL,FAIL,PASS,FAIL,8,
16,PASS, ,PASS,FAIL, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,1,
160,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
161,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
162,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,EXC,3,
163,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,FAIL,3,
164,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
165,PASS, ,EXC,EXC, ,EXC,EXC, , ,FAIL,FAIL,PASS,FAIL,7,
166,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,PASS,FAIL,7,
167,PASS, ,EXC,EXC, ,EXC,EXC, , ,EXC,PASS,PASS,EXC,6,
168,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,PASS,FAIL,5,
169,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,3,
17,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,FAIL,FAIL,8,
170,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,EXC,PASS,4,
171,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,EXC,PASS,3,
172,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,EXC,EXC,4,
173,FAIL, ,EXC,EXC, ,EXC,EXC, , ,PASS,FAIL,PASS,PASS,6,
174,PASS, ,EXC,EXC, ,EXC,EXC, , ,PASS,PASS,PASS,PASS,4,
175,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
176,FAIL, ,EXC,EXC, ,EXC,EXC, , ,PASS,PASS,PASS,PASS,5,
177,PASS, ,EXC,EXC, ,EXC,EXC, , ,EXC,PASS,PASS,EXC,6,
178,PASS, ,EXC,EXC, ,EXC,EXC, , ,EXC,PASS,EXC,EXC,7,
179,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
18, , ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL, ,FAIL,FAIL,6,
180,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
181,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
182,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
183,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
184,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,PASS,PASS,5,
185,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,PASS,EXC,7,
186,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,PASS,PASS,5,
187,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,PASS,EXC,6,
188,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,PASS,PASS,5,
189,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
19, , ,EXC,EXC, ,EXC,EXC, , ,FAIL, ,FAIL,FAIL,7,
190,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
191,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
192,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
193,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
194,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,PASS,FAIL,6,
195,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,5,
196,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,FAIL,6,
197,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,PASS,PASS,6,
198,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,FAIL,5,
199,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,PASS,FAIL,6,
2, , ,EXC,EXC,FAIL,EXC,PASS,FAIL, , , , , ,5,
20,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
200,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,PASS,FAIL,6,
201,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,PASS,PASS,6,
202,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,FAIL,5,
203,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,PASS,PASS,6,
204,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,EXC,5,
205,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,EXC,5,
206,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
207,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,EXC,5,
208,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,EXC,1,
209,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
21,EXC, ,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC,9,
210,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,EXC,1,
211,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
212,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,EXC,1,
213,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,EXC,1,
214,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,EXC,1,
215,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,EXC,1,
216,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
217,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
218,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,FAIL,5,
219,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
22,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
220,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,FAIL,6,
221,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,FAIL,5,
222,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,FAIL,5,
223,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,FAIL,5,
224,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
225,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,5,
226,FAIL, ,FAIL,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,5,
227,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,PASS,PASS,4,
228,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,PASS,3,
229,PASS, ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,PASS,4,
23,EXC, ,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC,9,
230,PASS, ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,PASS,4,
231,PASS, ,FAIL,FAIL, ,FAIL,PASS, , ,FAIL,PASS,PASS,PASS,4,
232,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
233,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
234,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
235,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
236,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
237,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
238,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
239,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
24,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
240,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,EXC,1,
241,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,EXC,1,
242,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
243,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
244,PASS, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,PASS,2,
245,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
246,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,EXC,PASS,5,
247,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
248,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,EXC,1,
249,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,EXC,4,
25,EXC, ,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC,9,
250,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,PASS,PASS,EXC,4,
251,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,EXC,1,
252,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,EXC,PASS,5,
253,PASS, ,PASS,PASS, ,PASS, , , ,PASS,PASS,PASS, ,0,
254,PASS, ,PASS,PASS, ,PASS, , , ,PASS,PASS,PASS, ,0,
255,PASS, ,PASS,PASS, ,PASS, , , ,FAIL,PASS,PASS, ,1,
256,FAIL, ,PASS,PASS, ,PASS, , , ,PASS,PASS,PASS, ,1,
257,FAIL, ,PASS,PASS, ,PASS, , , ,PASS,PASS,PASS, ,1,
258,PASS, ,PASS,PASS, ,PASS, , , ,FAIL,PASS,PASS, ,1,
259,PASS, ,PASS,FAIL, ,FAIL, , , ,PASS,FAIL,EXC, ,4,
26,PASS, ,PASS,FAIL, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,1,
260,FAIL, ,PASS,PASS, ,PASS, , , ,PASS,PASS,PASS, ,1,
261,FAIL, ,PASS,PASS, ,PASS, , , ,FAIL,PASS,PASS, ,2,
262,PASS, ,PASS,FAIL, ,FAIL, , , ,FAIL,PASS,PASS, ,3,
263,FAIL, ,PASS,FAIL, ,FAIL, , , ,FAIL,PASS,PASS, ,4,
264,PASS, ,PASS,PASS, ,PASS, , , ,FAIL,PASS,PASS, ,1,
265,FAIL, ,PASS,FAIL, ,FAIL, , , ,PASS,FAIL,EXC, ,5,
266,PASS, ,PASS,PASS, ,PASS,EXC, , ,PASS,PASS,PASS,PASS,1,
267,PASS, ,PASS,PASS, ,PASS,PASS, , ,FAIL,PASS,PASS,EXC,2,
268,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,FAIL,FAIL,EXC,EXC,7,
269,PASS, ,PASS,PASS, ,PASS,EXC, , ,FAIL,PASS,PASS,EXC,3,
27,PASS, ,PASS,FAIL, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,1,
270,PASS, ,PASS,PASS, ,PASS,PASS, , ,FAIL,PASS,PASS,PASS,1,
271,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,EXC,1,
272,FAIL, ,PASS,FAIL, ,FAIL,PASS, , ,PASS,FAIL,EXC,PASS,5,
273, , , , , , ,EXC, , ,EXC, , ,EXC,3,
274, , , , , , ,EXC, , ,EXC, , ,EXC,3,
275, , , , , , ,EXC, , ,EXC, , ,EXC,3,
276, , , , , , ,EXC, , ,EXC, , ,EXC,3,
277, , , , , , ,EXC, , ,EXC, , ,EXC,3,
278, , , , , , ,EXC, , ,EXC, , ,EXC,3,
279, , , , , , ,PASS, , ,FAIL, , ,FAIL,2,
28,PASS, ,PASS,FAIL, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,1,
280, , , , , , ,EXC, , ,EXC, , ,EXC,3,
281, , , , , , ,EXC, , ,FAIL, , ,PASS,2,
282, , , , , , ,EXC, , ,PASS, , ,FAIL,2,
283, , , , , , ,PASS, , ,PASS, , ,FAIL,1,
284, , , , , , ,PASS, , ,FAIL, , ,FAIL,2,
285, , , , , , ,PASS, , ,PASS, , ,PASS,0,
286, , , , , , ,PASS, , ,PASS, , ,PASS,0,
287, , , , , , ,EXC, , ,EXC, , ,EXC,3,
288, , , , , , ,PASS, , ,PASS, , ,PASS,0,
289, , , , , , ,PASS, , ,PASS, , ,PASS,0,
29,PASS, ,PASS,FAIL, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,1,
290, , , , , , ,EXC, , ,EXC, , ,EXC,3,
291, , , , , , ,EXC, , ,EXC, , ,EXC,3,
292, , , , , , ,PASS, , ,PASS, , ,PASS,0,
293, , , , , , ,EXC, , ,EXC, , ,EXC,3,
294, , , , , , ,PASS, , ,PASS, , ,FAIL,1,
295, , , , , , ,PASS, , ,PASS, , ,FAIL,1,
296, , , , , , ,PASS, , ,PASS, , ,FAIL,1,
297, , , , , , ,PASS, , ,PASS, , ,FAIL,1,
298, , , , , , ,PASS, , ,PASS, , ,FAIL,1,
299, , , , , , ,PASS, , ,PASS, , ,FAIL,1,
3,PASS, ,PASS,PASS,EXC,PASS,PASS,EXC, ,PASS,PASS,PASS,PASS,2,
30,EXC, ,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC,9,
300, , , , , , ,PASS, , ,FAIL, , ,FAIL,2,
301, , , , , , ,PASS, , ,FAIL, , ,FAIL,2,
302, , , , , , ,PASS, , ,FAIL, , ,FAIL,2,
303, , , , , , ,PASS, , ,FAIL, , ,FAIL,2,
304, , , , , , ,PASS, , ,PASS, , ,FAIL,1,
305, , , , , , ,PASS, , ,PASS, , ,FAIL,1,
306, , , , , , ,PASS, , ,PASS, , ,PASS,0,
307, , , , , , ,PASS, , ,PASS, , ,PASS,0,
308, , , , , , ,EXC, , ,EXC, , ,EXC,3,
309, , , , , , ,PASS, , ,PASS, , ,PASS,0,
31,EXC, ,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC,9,
310, , , , , , ,EXC, , ,EXC, , ,EXC,3,
311, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
312, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
313, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
314, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
315, , , , , , ,EXC, , ,EXC, , ,EXC,3,
316, , , , , , ,PASS, , ,FAIL, , ,PASS,1,
317, , , , , , ,PASS, , ,PASS, , ,PASS,0,
318, , , , , , ,PASS, , ,PASS, , ,PASS,0,
319, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
32,PASS, ,PASS,FAIL, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,1,
320, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
321, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
322, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
323, , , , , , ,PASS, , ,PASS, , ,PASS,0,
324, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
325, , , , , , ,PASS, , ,FAIL, , ,PASS,1,
326, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
327, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
328, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
329, , , , , , ,PASS, , ,PASS, , ,PASS,0,
33,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
330, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
331, , , , , , ,PASS, , ,FAIL, , ,PASS,1,
332, , , , , , ,EXC, , ,FAIL, , ,FAIL,3,
333, , , , , , ,PASS, , ,FAIL, , ,PASS,1,
334, , , , , , ,PASS, , ,FAIL, , ,PASS,1,
335, , , , , , ,PASS, , ,FAIL, , ,PASS,1,
336, , , , , , ,PASS, , ,FAIL, , ,FAIL,2,
337, , , , , , ,PASS, , ,FAIL, , ,FAIL,2,
338, , , , , , ,PASS, , ,FAIL, , ,FAIL,2,
339, , , , , , ,PASS, , ,FAIL, , ,PASS,1,
34,PASS, ,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,0,
340, , , , , , ,PASS, , ,FAIL, , ,FAIL,2,
341, , , , , , ,PASS, , ,FAIL, , ,FAIL,2,
342, , , , , , ,PASS, , ,FAIL, , ,FAIL,2,
343, , , , , , ,PASS, , ,FAIL, , ,PASS,1,
344,FAIL, ,PASS,PASS, ,PASS, , , , ,FAIL,PASS, ,2,
345,FAIL, ,PASS,PASS, ,PASS, , , , ,FAIL,PASS, ,2,
346,FAIL, ,EXC,EXC, ,EXC, , , , ,FAIL,EXC, ,6,
347,FAIL, ,PASS,PASS, ,PASS, , , , ,FAIL,PASS, ,2,
348,PASS, ,PASS,PASS, ,PASS, , , , ,PASS,PASS, ,0,
349,FAIL, ,EXC,EXC, ,EXC, , , , ,FAIL,PASS, ,5,
35,PASS, ,PASS,FAIL, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,1,
350,PASS, ,EXC,EXC, ,EXC, , , , ,PASS,PASS, ,3,
351,FAIL, ,PASS,PASS, ,PASS, , , , ,FAIL,PASS, ,2,
352,PASS, ,EXC,EXC, ,EXC, , , , ,PASS,EXC, ,4,
353, , ,PASS,PASS, ,PASS, , , , , ,PASS, ,0,
354, , ,PASS,PASS, ,PASS, , , , , ,PASS, ,0,
355, , ,PASS,PASS, ,PASS, , , , , ,PASS, ,0,
356, , ,EXC,EXC, ,EXC, , , , , ,PASS, ,3,
357, , ,PASS,PASS, ,PASS, , , , , ,FAIL, ,1,
358, , ,FAIL,FAIL, ,FAIL, , , , , ,PASS, ,3,
359, , ,FAIL,FAIL, ,FAIL, , , , , ,PASS, ,3,
36,PASS, ,PASS,FAIL, ,PASS,PASS, , ,PASS,PASS,PASS,PASS,1,
360, , ,PASS,FAIL, ,FAIL, , , , , ,PASS, ,2,
361, , ,PASS,FAIL, ,FAIL, , , , , ,PASS, ,2,
