Mutant,org.apache.commons.lang.math.FractionTest[testAbs],org.apache.commons.lang.math.FractionTest[testSubtract],org.apache.commons.lang.math.FractionTest[testGets],org.apache.commons.lang.math.FractionTest[testFactory_String],org.apache.commons.lang.math.FractionTest[testFactory_int_int_int],org.apache.commons.lang.math.FractionTest[testCompareTo],org.apache.commons.lang.math.FractionTest[testConstants],org.apache.commons.lang.math.FractionTest[testToProperString],org.apache.commons.lang.math.FractionTest[testHashCode],org.apache.commons.lang.math.FractionTest[testFactory_String_double],org.apache.commons.lang.math.FractionTest[testDivide],org.apache.commons.lang.math.FractionTest[testEquals],org.apache.commons.lang.math.FractionTest[testInvert],org.apache.commons.lang.math.FractionTest[testFactory_String_proper],org.apache.commons.lang.math.FractionTest[testNegate],org.apache.commons.lang.math.FractionTest[testReduce],org.apache.commons.lang.math.FractionTest[testFactory_int_int],org.apache.commons.lang.math.FractionTest[testReducedFactory_int_int],org.apache.commons.lang.math.FractionTest[testAdd],org.apache.commons.lang.math.FractionTest[testToString],org.apache.commons.lang.math.FractionTest[testFactory_String_improper],org.apache.commons.lang.math.FractionTest[testMultiply],org.apache.commons.lang.math.FractionTest[testConversions],org.apache.commons.lang.math.FractionTest[testPow],org.apache.commons.lang.math.FractionTest[testFactory_double],org.apache.commons.lang.math.Fraction_ESTest[test02],org.apache.commons.lang.math.Fraction_ESTest[test46],org.apache.commons.lang.math.Fraction_ESTest[test42],org.apache.commons.lang.math.Fraction_ESTest[test08],org.apache.commons.lang.math.Fraction_ESTest[test06],org.apache.commons.lang.math.Fraction_ESTest[test07],org.apache.commons.lang.math.Fraction_ESTest[test59],org.apache.commons.lang.math.Fraction_ESTest[test16],org.apache.commons.lang.math.Fraction_ESTest[test13],org.apache.commons.lang.math.Fraction_ESTest[test57],org.apache.commons.lang.math.Fraction_ESTest[test14],org.apache.commons.lang.math.Fraction_ESTest[test58],org.apache.commons.lang.math.Fraction_ESTest[test11],org.apache.commons.lang.math.Fraction_ESTest[test55],org.apache.commons.lang.math.Fraction_ESTest[test10],org.apache.commons.lang.math.Fraction_ESTest[test19],org.apache.commons.lang.math.Fraction_ESTest[test17],org.apache.commons.lang.math.Fraction_ESTest[test18],org.apache.commons.lang.math.Fraction_ESTest[test51],org.apache.commons.lang.math.Fraction_ESTest[test52],org.apache.commons.lang.math.Fraction_ESTest[test25],org.apache.commons.lang.math.Fraction_ESTest[test23],org.apache.commons.lang.math.Fraction_ESTest[test20],org.apache.commons.lang.math.Fraction_ESTest[test21],org.apache.commons.lang.math.Fraction_ESTest[test65],org.apache.commons.lang.math.Fraction_ESTest[test28],org.apache.commons.lang.math.Fraction_ESTest[test62],org.apache.commons.lang.math.Fraction_ESTest[test63],org.apache.commons.lang.math.Fraction_ESTest[test61],org.apache.commons.lang.math.Fraction_ESTest[test39],org.apache.commons.lang.math.Fraction_ESTest[test43],org.apache.commons.lang.math.Fraction_ESTest[test09],org.apache.commons.lang.math.Fraction_ESTest[test40],org.apache.commons.lang.math.Fraction_ESTest[test41],org.apache.commons.lang.math.Fraction_ESTest[test15],org.apache.commons.lang.math.Fraction_ESTest[test53],org.apache.commons.lang.math.Fraction_ESTest[test26],org.apache.commons.lang.math.Fraction_ESTest[test27],org.apache.commons.lang.math.Fraction_ESTest[test24],org.apache.commons.lang.math.Fraction_ESTest[test22],org.apache.commons.lang.math.Fraction_ESTest[test64],org.apache.commons.lang.math.Fraction_ESTest[test29],org.apache.commons.lang.math.Fraction_ESTest[test60],org.apache.commons.lang.math.Fraction_ESTest[test37],org.apache.commons.lang.math.Fraction_ESTest[test36],org.apache.commons.lang.math.Fraction_ESTest[test34],org.apache.commons.lang.math.Fraction_ESTest[test31],org.apache.commons.lang.math.Fraction_ESTest[test05],org.apache.commons.lang.math.Fraction_ESTest[test03],org.apache.commons.lang.math.Fraction_ESTest[test47],org.apache.commons.lang.math.Fraction_ESTest[test00],org.apache.commons.lang.math.Fraction_ESTest[test01],org.apache.commons.lang.math.Fraction_ESTest[test56],org.apache.commons.lang.math.Fraction_ESTest[test54],org.apache.commons.lang.math.Fraction_ESTest[test49],org.apache.commons.lang.math.Fraction_ESTest[test50],org.apache.commons.lang.math.Fraction_ESTest[test38],org.apache.commons.lang.math.Fraction_ESTest[test12],org.apache.commons.lang.math.Fraction_ESTest[test44],org.apache.commons.lang.math.Fraction_ESTest[test45],org.apache.commons.lang.math.Fraction_ESTest[test33],org.apache.commons.lang.math.Fraction_ESTest[test48],org.apache.commons.lang.math.Fraction_ESTest[test32],org.apache.commons.lang.math.Fraction_ESTest[test35],org.apache.commons.lang.math.Fraction_ESTest[test04],org.apache.commons.lang.math.Fraction_ESTest[test30],Total,Equiv?
1010, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,PASS, , , , ,PASS, , , , , , ,FAIL, , , ,PASS, , , , , ,3,
1011, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , ,PASS, , , , ,PASS, , , , , , ,PASS, , , ,PASS, , , , , ,2,
1012, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , ,PASS, , , , ,PASS, , , , , , ,FAIL, , , ,PASS, , , , , ,2,
1013, ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , ,EXC, , , , ,EXC, , , , , , ,PASS, , , ,EXC, , , , , ,4,
1014, ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,0,
1015, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , ,PASS, , , , , , , , , , ,FAIL, , , , , ,3,
1016, , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , ,FAIL,FAIL, , , , , ,FAIL, , , , , , , ,FAIL,PASS, , , , , , ,6,
1017, ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL,FAIL, , ,FAIL, , , , , , , , , , ,EXC, , , , ,FAIL, , , , , , ,FAIL, , , ,PASS, , , , , ,7,
1018, ,EXC, , , , , , , , , , , , , , , , ,EXC, , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC,EXC, ,EXC,EXC, , , , , , , , , ,EXC,EXC, , , , ,EXC,EXC, , , , , ,EXC, ,EXC,EXC,EXC, , , , , ,15,
1019, ,EXC, , , , , , , , , , , , , , , , ,EXC, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, ,PASS,PASS, , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,PASS,PASS,PASS, , , , , ,2,
102, , ,PASS, ,FAIL,PASS, ,PASS, , , , , ,PASS, , , , , ,PASS, , ,PASS, , , , , , , , , , ,PASS, , , ,PASS, ,FAIL, , , , , , , , , , , , , , , , ,PASS, , , ,PASS, , , ,PASS, , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , , , , ,2,
1020, ,EXC, , , , , , , , , , , , , , , , ,EXC, , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC,EXC, ,EXC,EXC, , , , , , , , , ,EXC,EXC, , , , ,EXC,EXC, , , , , ,EXC, ,EXC,EXC,EXC, , , , , ,15,
1021, ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,
1022, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS, ,PASS,FAIL, , , , , , , , , ,FAIL,PASS, , , , ,PASS,FAIL, , , , , ,PASS, ,PASS,PASS,PASS, , , , , ,6,
1023, ,PASS, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, ,PASS,FAIL, , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,PASS,PASS,PASS, , , , , ,2,
1024, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL,FAIL, ,PASS,FAIL, , , , , , , , , ,FAIL,FAIL, , , , ,FAIL,FAIL, , , , , ,FAIL, ,FAIL,FAIL,PASS, , , , , ,13,
1025, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, ,PASS,FAIL, , , , , , , , , ,PASS,FAIL, , , , ,PASS,PASS, , , , , ,FAIL, ,FAIL,FAIL,PASS, , , , , ,7,
1026, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, ,PASS,PASS, , , , , , , , , ,PASS,FAIL, , , , ,PASS,PASS, , , , , ,FAIL, ,FAIL,FAIL,PASS, , , , , ,6,
1027, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL,FAIL, ,PASS,FAIL, , , , , , , , , ,FAIL,PASS, , , , ,FAIL,FAIL, , , , , ,PASS, ,PASS,PASS,PASS, , , , , ,9,
1028, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL,FAIL, ,PASS,PASS, , , , , , , , , ,FAIL,PASS, , , , ,FAIL,FAIL, , , , , ,PASS, ,PASS,PASS,PASS, , , , , ,8,
1029, ,PASS, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, ,PASS,FAIL, , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,PASS,PASS,PASS, , , , , ,2,
103, , ,EXC, ,EXC,EXC, ,EXC, , , , , ,EXC, , , , , ,EXC, , ,EXC, , , , , , , , , , ,PASS, , , ,PASS, ,FAIL, , , , , , , , , , , , , , , , ,PASS, , , ,EXC, , , ,EXC, , , , , , , , , , , , , , , , , ,PASS, , ,EXC, , , , , ,11,
1030, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL,FAIL, ,PASS,PASS, , , , , , , , , ,FAIL,FAIL, , , , ,FAIL,FAIL, , , , , ,FAIL, ,FAIL,FAIL,PASS, , , , , ,12,
1031, ,PASS, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
1032, ,FAIL, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
1033, ,PASS, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
1034, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , ,PASS,PASS, , , , ,PASS,FAIL, , , , , ,FAIL, ,PASS,PASS,PASS, , , , , ,5,
1035, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,PASS,PASS,PASS, , , , , ,3,
1036, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , ,FAIL,FAIL, , , , ,FAIL,FAIL, , , , , ,FAIL, ,FAIL,FAIL,FAIL, , , , , ,13,
1037, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , ,PASS,FAIL, , , , ,PASS,PASS, , , , , ,PASS, ,FAIL,PASS,PASS, , , , , ,6,
1038, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , ,PASS,FAIL, , , , ,PASS,PASS, , , , , ,PASS, ,FAIL,PASS,PASS, , , , , ,5,
1039, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , , , ,FAIL,FAIL, , , , ,FAIL,FAIL, , , , , ,FAIL, ,PASS,FAIL,FAIL, , , , , ,11,
104, , ,PASS, ,FAIL,PASS, ,PASS, , , , , ,PASS, , , , , ,PASS, , ,PASS, , , , , , , , , , ,PASS, , , ,PASS, ,FAIL, , , , , , , , , , , , , , , , ,PASS, , , ,PASS, , , ,PASS, , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , , , , ,2,
1040, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , , , ,FAIL,FAIL, , , , ,FAIL,FAIL, , , , , ,FAIL, ,PASS,FAIL,FAIL, , , , , ,10,
1041, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,PASS,PASS,PASS, , , , , ,3,
1042, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , ,FAIL,FAIL, , , , ,FAIL,FAIL, , , , , ,FAIL, ,FAIL,FAIL,FAIL, , , , , ,12,
1043, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
1044, ,EXC, , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,EXC, , , , , , , , , , , , ,PASS,EXC, , , , ,EXC,EXC, , , , , ,PASS, ,EXC,PASS,EXC, , , , , ,8,
1045, ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,PASS,PASS,PASS, , , , , ,0,
1046, ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,PASS,PASS,PASS, , , , , ,0,
1047, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,FAIL,PASS,PASS, , , , , ,4,
1048, ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,PASS,PASS,PASS, , , , , ,0,
1049, ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,PASS,PASS,PASS, , , , , ,0,
105, , ,PASS, ,PASS,PASS, ,PASS, , , , , ,PASS, , , , , ,PASS, , ,PASS, , , , , , , , , , ,PASS, , , ,PASS, ,PASS, , , , , , , , , , , , , , , , ,PASS, , , ,PASS, , , ,PASS, , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , , , , ,0,
1050, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,FAIL,PASS,PASS, , , , , ,4,
1051, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,FAIL,PASS,PASS, , , , , ,4,
1052, ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,PASS,PASS,PASS, , , , , ,0,
1053, ,FAIL, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS,FAIL, , , , , , , , , , , , ,PASS,PASS, , , , ,PASS,PASS, , , , , ,PASS, ,FAIL,PASS,PASS, , , , , ,4,
