Mutant,org.apache.commons.math.optimization.fitting.CurveFitterTest[testMath304],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testTrivial],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testMoreEstimatedParametersSimple],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testInconsistentEquations],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testInconsistentSizes],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testRedundantEquations],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testQRColumnsPermutation],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testTwoSets],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testMoreEstimatedParametersUnsorted],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testIllConditioned],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testMath199],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testOneSet],org.apache.commons.math.optimization.general.MinpackTest[testMinpackBox3Dimensional],org.apache.commons.math.optimization.general.MinpackTest[testMinpackLinearFullRank],org.apache.commons.math.optimization.general.MinpackTest[testMinpackLinearRank1ZeroColsAndRows],org.apache.commons.math.optimization.general.MinpackTest[testMinpackJennrichSampson],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testControlParameters],org.apache.commons.math.optimization.general.MinpackTest[testMinpackRosenbrok],org.apache.commons.math.optimization.general.MinpackTest[testMinpackFreudensteinRoth],org.apache.commons.math.optimization.general.MinpackTest[testMinpackHelicalValley],org.apache.commons.math.optimization.fitting.HarmonicFitterTest[testNoError],org.apache.commons.math.optimization.general.MinpackTest[testMinpackOsborne1],org.apache.commons.math.optimization.general.MinpackTest[testMinpackBard],org.apache.commons.math.optimization.fitting.HarmonicFitterTest[testInitialGuess],org.apache.commons.math.optimization.fitting.HarmonicFitterTest[testUnsorted],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testCircleFittingBadInit],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testNonInversible],org.apache.commons.math.optimization.general.MinpackTest[testMinpackOsborne2],org.apache.commons.math.optimization.fitting.CurveFitterTest[testMath303],org.apache.commons.math.optimization.general.MinpackTest[testMinpackPowellSingular],org.apache.commons.math.optimization.fitting.PolynomialFitterTest[testRedundantSolvable],org.apache.commons.math.optimization.general.MinpackTest[testMinpackLinearRank1],org.apache.commons.math.optimization.fitting.HarmonicFitterTest[test1PercentError],org.apache.commons.math.optimization.general.MinpackTest[testMinpackChebyquad],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testNoDependency],org.apache.commons.math.optimization.general.MinpackTest[testMinpackMeyer],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest[testCircleFitting],org.apache.commons.math.optimization.general.MinpackTest[testMinpackKowalikOsborne],org.apache.commons.math.optimization.general.MinpackTest[testMinpackWatson],org.apache.commons.math.optimization.fitting.PolynomialFitterTest[testNoError],org.apache.commons.math.optimization.fitting.PolynomialFitterTest[testSmallError],org.apache.commons.math.optimization.general.MinpackTest[testMinpackBrownDennis],org.apache.commons.math.optimization.general.MinpackTest[testMinpackBrownAlmostLinear],org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizer_ESTest[test0],Total,Equiv?
1009, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
101,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,0,
1010, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1011, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1012, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1013, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1014, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1015, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1016, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1017, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1018, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1019, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
102,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS, ,FAIL,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL, ,16,
1020, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1021, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,FAIL,PASS,PASS, ,FAIL,PASS, ,4,
1022, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1023, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1024, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1025, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,FAIL,PASS,PASS, ,FAIL,PASS, ,4,
1026, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1027, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1028, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1029, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
103,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL, ,7,
1030, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1031, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1032, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1033, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1034, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1035, , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , ,0,
1036, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,FAIL,PASS,PASS, ,FAIL,PASS, ,4,
1037, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, , , ,FAIL, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,FAIL, ,9,
1038, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1039, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
104,PASS,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS, ,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS, ,9,
1040, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,FAIL,PASS,PASS, ,FAIL,PASS, ,4,
1041, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, , , ,FAIL, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,FAIL, ,9,
1042, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,FAIL,PASS,PASS, ,FAIL,PASS, ,4,
1043, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1044, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, ,PASS,PASS,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,PASS,PASS, ,FAIL,FAIL, ,7,
1045, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, ,PASS,PASS,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,FAIL, ,8,
1046, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, ,PASS,PASS,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,PASS,PASS, ,FAIL,FAIL, ,7,
1047, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1048, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, ,PASS,PASS,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,PASS,PASS, ,FAIL,FAIL, ,7,
1049, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, ,PASS,PASS,FAIL, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,FAIL, ,9,
105,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL, ,7,
1050, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, ,PASS,PASS,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,PASS,PASS, ,FAIL,FAIL, ,7,
1051, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,FAIL, , , ,PASS, ,PASS, ,FAIL, ,FAIL,PASS,PASS, ,FAIL,PASS, ,5,
1052, , , , , , , , , , , , , , ,EXC,EXC,FAIL,EXC,EXC,EXC, ,EXC,EXC,EXC, , , ,EXC, , , ,EXC, ,EXC, ,EXC, ,EXC,EXC,EXC, ,EXC,EXC, ,18,
1053, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1054, , , , , , , , , , , , , , ,EXC,EXC,FAIL,EXC,EXC,EXC, ,EXC,EXC,EXC, , , ,EXC, , , ,EXC, ,EXC, ,EXC, ,EXC,EXC,EXC, ,EXC,EXC, ,18,
1055, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,FAIL, ,FAIL, ,FAIL, ,FAIL,FAIL,FAIL, ,FAIL,PASS, ,9,
1056, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,FAIL, ,FAIL, ,FAIL, ,FAIL,FAIL,FAIL, ,FAIL,PASS, ,9,
1057, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,FAIL, ,FAIL, ,FAIL, ,FAIL,FAIL,FAIL, ,FAIL,PASS, ,9,
1058, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,FAIL, ,FAIL, ,FAIL, ,FAIL,FAIL,FAIL, ,FAIL,PASS, ,9,
1059, , , , , , , , , , , , , , ,EXC,EXC,FAIL,EXC,EXC,EXC, ,EXC,EXC,EXC, , , ,EXC, , , ,EXC, ,EXC, ,EXC, ,EXC,EXC,EXC, ,EXC,EXC, ,18,
106,PASS, ,PASS,PASS, ,PASS, , ,PASS,PASS, , ,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,FAIL, ,PASS,PASS,PASS, ,PASS,PASS,FAIL, ,PASS,PASS,FAIL,PASS, , ,FAIL,FAIL, ,10,
1060, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,PASS, ,FAIL, ,FAIL,FAIL,FAIL, ,FAIL,PASS, ,7,
1061, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,FAIL, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,PASS, ,FAIL, ,FAIL,FAIL,EXC, ,FAIL,PASS, ,8,
1062, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,PASS, ,FAIL, ,FAIL,FAIL,EXC, ,FAIL,FAIL, ,8,
1063, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,PASS, ,FAIL, ,FAIL,FAIL,EXC, ,FAIL,FAIL, ,8,
1064, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,FAIL, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,FAIL,EXC, ,FAIL,PASS, ,9,
1065, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,PASS,PASS, ,FAIL,PASS, ,6,
1066, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,PASS, ,7,
1067, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,PASS, ,7,
1068, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,PASS, ,7,
1069, , , , , , , , , , , , , , ,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,FAIL, ,FAIL, ,FAIL, ,FAIL,FAIL,FAIL, ,FAIL,PASS, ,9,
107,PASS, ,PASS,PASS, ,PASS, , ,PASS,PASS, , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, ,PASS,PASS,PASS, ,FAIL,PASS,PASS,PASS, , ,FAIL,FAIL, ,3,
1070, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,FAIL, ,FAIL, ,FAIL,PASS,PASS, ,FAIL,PASS, ,5,
1071, , , , , , , , , , , , , , ,EXC,EXC,FAIL,EXC,EXC,EXC, ,EXC,EXC,EXC, , , ,EXC, , , ,EXC, ,EXC, ,EXC, ,EXC,EXC,EXC, ,EXC,EXC, ,18,
1072, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,PASS,PASS,PASS, ,PASS,PASS, ,0,
1073, , , , , , , , , , , , , , ,EXC,EXC,FAIL,EXC,EXC,EXC, ,EXC,EXC,EXC, , , ,EXC, , , ,EXC, ,EXC, ,EXC, ,EXC,EXC,EXC, ,EXC,EXC, ,18,
1074, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, , , ,FAIL, , , ,PASS, ,PASS, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,PASS, ,7,
1075, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, , , ,FAIL, , , ,PASS, ,PASS, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,PASS, ,7,
1076, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, , , ,FAIL, , , ,PASS, ,PASS, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,PASS, ,7,
1077, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, , , ,FAIL, , , ,PASS, ,PASS, ,FAIL, ,FAIL,FAIL,PASS, ,FAIL,PASS, ,7,
1078, , , , , , , , , , , , , , ,EXC,EXC,FAIL,EXC,EXC,EXC, ,EXC,EXC,EXC, , , ,EXC, , , ,EXC, ,EXC, ,EXC, ,EXC,EXC,EXC, ,EXC,EXC, ,18,
1079, , , , , , , , , , , , , , ,PASS,PASS,PASS,PASS,FAIL,PASS, ,PASS,FAIL,PASS, , , ,PASS, , , ,PASS, ,PASS, ,PASS, ,FAIL,FAIL,PASS, ,FAIL,PASS, ,5,
108,PASS, ,PASS,PASS, ,PASS, , ,PASS,PASS, , ,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS, ,PASS,PASS,FAIL, ,FAIL,PASS,FAIL, ,FAIL,EXC,PASS,FAIL, , ,FAIL,FAIL, ,15,
