Mutant,org.apache.commons.lang.NumberUtilsTest[testCreateFloat],org.apache.commons.lang.NumberUtilsTest[testLang457],org.apache.commons.lang.NumberUtilsTest[testIsDigits],org.apache.commons.lang.NumberUtilsTest[testCompareDouble],org.apache.commons.lang.NumberUtilsTest[testMinimumLong],org.apache.commons.lang.NumberUtilsTest[testCreateBigInteger],org.apache.commons.lang.NumberUtilsTest[testCreateLong],org.apache.commons.lang.NumberUtilsTest[testMaximumInt],org.apache.commons.lang.NumberUtilsTest[testMaximumLong],org.apache.commons.lang.NumberUtilsTest[testStringToIntStringI],org.apache.commons.lang.NumberUtilsTest[testCompareFloat],org.apache.commons.lang.NumberUtilsTest[testStringToIntString],org.apache.commons.lang.NumberUtilsTest[testCreateInteger],org.apache.commons.lang.NumberUtilsTest[testCreateDouble],org.apache.commons.lang.NumberUtilsTest[testMinimumInt],org.apache.commons.lang.NumberUtilsTest[testCreateBigDecimal],org.apache.commons.lang.NumberUtilsTest[testIsNumber],org.apache.commons.lang.NumberUtilsTest[testIsNumberInvalidInput],org.apache.commons.lang.NumberUtilsTest[testCreateNumber],org.apache.commons.lang.NumberUtils_ESTest[test47],org.apache.commons.lang.NumberUtils_ESTest[test04],org.apache.commons.lang.NumberUtils_ESTest[test05],org.apache.commons.lang.NumberUtils_ESTest[test22],org.apache.commons.lang.NumberUtils_ESTest[test16],org.apache.commons.lang.NumberUtils_ESTest[test10],org.apache.commons.lang.NumberUtils_ESTest[test54],org.apache.commons.lang.NumberUtils_ESTest[test11],org.apache.commons.lang.NumberUtils_ESTest[test55],org.apache.commons.lang.NumberUtils_ESTest[test18],org.apache.commons.lang.NumberUtils_ESTest[test19],org.apache.commons.lang.NumberUtils_ESTest[test40],org.apache.commons.lang.NumberUtils_ESTest[test41],org.apache.commons.lang.NumberUtils_ESTest[test02],org.apache.commons.lang.NumberUtils_ESTest[test46],org.apache.commons.lang.NumberUtils_ESTest[test03],org.apache.commons.lang.NumberUtils_ESTest[test49],org.apache.commons.lang.NumberUtils_ESTest[test44],org.apache.commons.lang.NumberUtils_ESTest[test01],org.apache.commons.lang.NumberUtils_ESTest[test45],org.apache.commons.lang.NumberUtils_ESTest[test08],org.apache.commons.lang.NumberUtils_ESTest[test71],org.apache.commons.lang.NumberUtils_ESTest[test72],org.apache.commons.lang.NumberUtils_ESTest[test73],org.apache.commons.lang.NumberUtils_ESTest[test30],org.apache.commons.lang.NumberUtils_ESTest[test70],org.apache.commons.lang.NumberUtils_ESTest[test35],org.apache.commons.lang.NumberUtils_ESTest[test38],org.apache.commons.lang.NumberUtils_ESTest[test34],org.apache.commons.lang.NumberUtils_ESTest[test39],org.apache.commons.lang.NumberUtils_ESTest[test60],org.apache.commons.lang.NumberUtils_ESTest[test68],org.apache.commons.lang.NumberUtils_ESTest[test25],org.apache.commons.lang.NumberUtils_ESTest[test27],org.apache.commons.lang.NumberUtils_ESTest[test64],org.apache.commons.lang.NumberUtils_ESTest[test66],org.apache.commons.lang.NumberUtils_ESTest[test23],org.apache.commons.lang.NumberUtils_ESTest[test67],org.apache.commons.lang.NumberUtils_ESTest[test29],org.apache.commons.lang.NumberUtils_ESTest[test57],org.apache.commons.lang.NumberUtils_ESTest[test14],org.apache.commons.lang.NumberUtils_ESTest[test58],org.apache.commons.lang.NumberUtils_ESTest[test15],org.apache.commons.lang.NumberUtils_ESTest[test59],org.apache.commons.lang.NumberUtils_ESTest[test53],org.apache.commons.lang.NumberUtils_ESTest[test12],org.apache.commons.lang.NumberUtils_ESTest[test56],org.apache.commons.lang.NumberUtils_ESTest[test17],org.apache.commons.lang.NumberUtils_ESTest[test42],org.apache.commons.lang.NumberUtils_ESTest[test43],org.apache.commons.lang.NumberUtils_ESTest[test36],org.apache.commons.lang.NumberUtils_ESTest[test31],org.apache.commons.lang.NumberUtils_ESTest[test61],org.apache.commons.lang.NumberUtils_ESTest[test62],org.apache.commons.lang.NumberUtils_ESTest[test24],org.apache.commons.lang.NumberUtils_ESTest[test69],org.apache.commons.lang.NumberUtils_ESTest[test21],org.apache.commons.lang.NumberUtils_ESTest[test52],org.apache.commons.lang.NumberUtils_ESTest[test13],org.apache.commons.lang.NumberUtils_ESTest[test06],org.apache.commons.lang.NumberUtils_ESTest[test07],org.apache.commons.lang.NumberUtils_ESTest[test32],org.apache.commons.lang.NumberUtils_ESTest[test33],org.apache.commons.lang.NumberUtils_ESTest[test37],org.apache.commons.lang.NumberUtils_ESTest[test09],org.apache.commons.lang.NumberUtils_ESTest[test26],org.apache.commons.lang.NumberUtils_ESTest[test28],org.apache.commons.lang.NumberUtils_ESTest[test51],org.apache.commons.lang.NumberUtils_ESTest[test48],org.apache.commons.lang.NumberUtils_ESTest[test63],org.apache.commons.lang.NumberUtils_ESTest[test65],org.apache.commons.lang.NumberUtils_ESTest[test50],org.apache.commons.lang.NumberUtils_ESTest[test20],Total,Equiv?
1014, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1015, , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,0,
1016, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1017, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,3,
1018, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1019, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,1,
102, , , , , , , , , , , , , , , , ,EXC, ,PASS, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , ,PASS,EXC, , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,EXC, , , , , , ,4,
1020, , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,1,
1021, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1022, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,3,
1023, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1024, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,1,
1025, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,3,
1026, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1027, , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,1,
1028, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1029, , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,0,
103, , , , , , , , , , , , , , , , ,PASS, ,PASS, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,PASS, , , , , , ,0,
1030, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,3,
1031, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,4,
1032, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,3,
1033, , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,1,
1034, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1035, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1036, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1037, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,1,
1038, , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,0,
1039, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
104, , , , , , , , , , , , , , , , ,PASS, ,PASS, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , ,PASS, , , , , , ,0,
1040, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1041, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,1,
1042, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1043, , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,0,
1044, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,3,
1045, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,4,
1046, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,3,
1047, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,1,
1048, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,3,
1049, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
105, , , , , , , , , , , , , , , , ,EXC, ,PASS, , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , ,PASS,EXC, , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , ,EXC, , , , , , ,4,
1050, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , ,PASS, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,4,
1051, , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , ,FAIL, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,1,
1052, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , ,PASS, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,3,
1053, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , ,PASS, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1054, , , , , , , , , , , , , , , , ,FAIL,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , ,PASS, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,1,
1055, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , ,FAIL, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,3,
1056, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , ,PASS,PASS,PASS, ,PASS, , , , , , , , , ,PASS, , , ,PASS, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS, , ,PASS, , ,2,
1057, , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , ,FAIL,PASS, , ,PASS, , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
1058, , , , , , , , , , , , , , , , ,FAIL,FAIL, , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , ,PASS, , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,PASS, , ,3,
