Mutant,org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testConvergenceOnFunctionAccuracy],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testInsufficientOrder2],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testInsufficientOrder3],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testConstructorsOK],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testRootEndpoints],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testSinZero],org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest[testUnstableDerivative],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testIssue716],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testSolutionAboveSide],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testSolutionLeftSide],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testBadEndpoints],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testQuinticZero],org.apache.commons.math.ode.nonstiff.GillIntegratorTest[testUnstableDerivative],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testSolutionRightSide],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testSolutionBelowSide],org.apache.commons.math.ode.nonstiff.HighamHall54IntegratorTest[testEventsErrors],org.apache.commons.math.ode.nonstiff.HighamHall54IntegratorTest[testEventsNoConvergence],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testInsufficientOrder1],org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest[testEvents],org.apache.commons.math.ode.nonstiff.ClassicalRungeKuttaIntegratorTest[testMissedEndEvent],org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest[testMissedEndEvent],org.apache.commons.math.ode.nonstiff.GraggBulirschStoerIntegratorTest[testUnstableDerivative],org.apache.commons.math.ode.nonstiff.GraggBulirschStoerIntegratorTest[testEvents],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolverTest[testFasterThanNewton],org.apache.commons.math.ode.events.EventStateTest[testIssue695],org.apache.commons.math.ode.nonstiff.DormandPrince54IntegratorTest[testEvents],org.apache.commons.math.ode.nonstiff.HighamHall54IntegratorTest[testEvents],org.apache.commons.math.ode.nonstiff.EulerIntegratorTest[testDecreasingSteps],org.apache.commons.math.ode.nonstiff.ClassicalRungeKuttaIntegratorTest[testDecreasingSteps],org.apache.commons.math.ode.nonstiff.MidpointIntegratorTest[testDecreasingSteps],org.apache.commons.math.ode.nonstiff.ThreeEighthesIntegratorTest[testDecreasingSteps],org.apache.commons.math.ode.nonstiff.GillIntegratorTest[testDecreasingSteps],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test07],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test08],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test00],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test06],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test09],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test05],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test04],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test02],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test10],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test12],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test16],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test13],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test01],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test17],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test11],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test03],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test15],org.apache.commons.math.analysis.solvers.BracketingNthOrderBrentSolver_ESTest[test14],Total,Equiv?
112,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, , ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,EXC,1,
113,EXC, , , ,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS, ,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL, ,PASS, , ,PASS, , , ,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, ,PASS,PASS,14,
114,EXC, , , ,PASS,EXC,PASS,EXC,EXC,EXC,PASS,EXC,PASS,EXC,EXC, ,EXC, ,EXC,PASS,PASS,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS, , ,PASS, , , ,EXC,EXC,PASS,FAIL,FAIL,PASS,PASS, ,EXC,PASS,25,
115,EXC, , , ,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL, ,FAIL, , ,FAIL, , , ,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, ,PASS,PASS,20,
116,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, , ,PASS, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,0,
117,EXC, , , ,PASS,EXC,PASS,EXC,EXC,EXC,PASS,EXC,PASS,EXC,EXC, ,EXC, ,EXC,PASS,PASS,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS, , ,PASS, , , ,EXC,EXC,PASS,FAIL,FAIL,EXC,PASS, ,EXC,EXC,27,
118,EXC, , , ,FAIL,EXC,FAIL,EXC,FAIL,EXC,FAIL,EXC,FAIL,FAIL,EXC, ,EXC, ,EXC,FAIL,FAIL,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS, , ,FAIL, , , ,EXC,EXC,FAIL,FAIL,FAIL,EXC,PASS, ,EXC,EXC,36,
119,EXC, , , ,FAIL,EXC,FAIL,EXC,FAIL,EXC,FAIL,EXC,FAIL,FAIL,EXC, ,EXC, ,EXC,FAIL,FAIL,EXC,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS, , ,FAIL, , , ,EXC,EXC,FAIL,FAIL,FAIL,EXC,PASS, ,EXC,EXC,36,
12, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , ,0,
120,EXC, , , ,PASS,EXC,PASS,EXC,EXC,EXC,PASS,EXC,PASS,EXC,EXC, ,EXC, ,EXC,PASS,PASS,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS, , ,PASS, , , ,EXC,EXC,PASS,FAIL,FAIL,EXC,PASS, ,EXC,EXC,27,
121,EXC, , , ,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS, ,PASS, ,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL, ,FAIL, , ,FAIL, , , ,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL, ,PASS,PASS,20,
122,EXC, , , , ,EXC, ,EXC,PASS,PASS, ,EXC, ,PASS,PASS, ,EXC, ,EXC, , ,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , , , , , ,PASS,EXC, ,EXC,EXC,PASS, , ,EXC,EXC,21,
123,EXC, , , , ,EXC, ,EXC,EXC,EXC, ,EXC, ,EXC,EXC, ,EXC, ,EXC, , ,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , , , , , ,EXC,EXC, ,EXC,EXC,EXC, , ,EXC,EXC,27,
124,EXC, , , , ,EXC, ,EXC,EXC,EXC, ,EXC, ,EXC,EXC, ,EXC, ,EXC, , ,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , , , , , ,EXC,EXC, ,EXC,EXC,EXC, , ,EXC,EXC,27,
125,EXC, , , , ,EXC, ,EXC,EXC,EXC, ,EXC, ,EXC,EXC, ,EXC, ,EXC, , ,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , , , , , ,EXC,EXC, ,EXC,EXC,EXC, , ,EXC,EXC,27,
126,FAIL, , , ,PASS,FAIL,FAIL, ,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL, , , , ,PASS,PASS, ,FAIL,FAIL, , , ,PASS,PASS,PASS,PASS,PASS, ,PASS, , ,FAIL, , , , , ,FAIL, , , ,FAIL, , , ,13,
127,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, ,EXC, , ,EXC, , , , , ,EXC, , , ,EXC, , , ,24,
128,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,EXC,EXC, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, ,EXC, , ,PASS, , , , , ,EXC, , , ,EXC, , , ,22,
129,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, ,EXC, , ,EXC, , , , , ,EXC, , , ,EXC, , , ,24,
13, , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , ,0,
130,FAIL, , , ,PASS,FAIL,FAIL, ,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL, , , , ,PASS,PASS, ,FAIL,FAIL, , , ,PASS,PASS,PASS,PASS,PASS, ,PASS, , ,FAIL, , , , , ,FAIL, , , ,FAIL, , , ,13,
131,PASS, , , ,EXC,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS, ,EXC, , ,PASS, , , , , ,PASS, , , ,PASS, , , ,2,
132,EXC, , , ,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, ,EXC, , ,EXC, , , , , ,EXC, , , ,EXC, , , ,24,
133,PASS, , , ,EXC,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS, ,EXC, , ,PASS, , , , , ,PASS, , , ,PASS, , , ,2,
134,PASS, , , ,EXC,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS, ,EXC, , ,PASS, , , , , ,PASS, , , ,PASS, , , ,2,
135,PASS, , , ,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS, ,PASS, , ,PASS, , , , , ,PASS, , , ,PASS, , , ,0,
136,PASS, , , ,EXC,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS, ,EXC, , ,PASS, , , , , ,PASS, , , ,PASS, , , ,2,
137,PASS, , , ,EXC,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS, ,EXC, , ,PASS, , , , , ,PASS, , , ,PASS, , , ,2,
138,FAIL, , , ,PASS,FAIL,FAIL, ,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL, , , , ,PASS,PASS, ,FAIL,FAIL, , , ,PASS,PASS,PASS,PASS,PASS, ,PASS, , ,FAIL, , , , , ,FAIL, , , ,FAIL, , , ,13,
139, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , , , , , , ,2,
14, , , ,FAIL,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,PASS,EXC, ,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,FAIL,EXC, , , , , ,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,36,
140, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , ,2,
141, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , ,2,
142,PASS, , , , ,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, , , , , ,PASS, , , ,EXC, , , ,1,
143,EXC, , , , ,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, , , , ,EXC, , , , , ,EXC, , , ,EXC, , , ,22,
144,EXC, , , , ,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,EXC,EXC, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, , , , ,PASS, , , , , ,EXC, , , ,EXC, , , ,20,
145,EXC, , , , ,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, , , , ,EXC, , , , , ,EXC, , , ,EXC, , , ,22,
146,EXC, , , , ,EXC,PASS, ,PASS,PASS,PASS,EXC,PASS,PASS,PASS, , , , ,PASS,PASS, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, , , , ,PASS, , , , , ,EXC, , , ,EXC, , , ,12,
147,PASS, , , , ,PASS,PASS, ,EXC,EXC,PASS,PASS,EXC,EXC,EXC, , , , ,PASS,PASS, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, , , , ,PASS, , , , , ,EXC, , , ,PASS, , , ,13,
148,EXC, , , , ,EXC,PASS, ,PASS,PASS,FAIL,EXC,PASS,PASS,PASS, , , , ,PASS,PASS, ,EXC,PASS, , , ,EXC,EXC,EXC,EXC,EXC, , , , ,FAIL, , , , , ,EXC, , , ,PASS, , , ,12,
149,PASS, , , , ,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, , , , , ,PASS, , , ,PASS, , , ,0,
15, , , ,PASS,PASS,EXC,PASS, ,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS, , , , , ,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,2,
150,PASS, , , , ,PASS,PASS, ,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, , , , , ,PASS, , , ,PASS, , , ,1,
151,EXC, , , , ,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,EXC,EXC, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, , , , ,PASS, , , , , ,EXC, , , ,PASS, , , ,19,
152,PASS, , , , ,PASS,PASS, ,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS, , , , ,FAIL, , , , , ,PASS, , , ,PASS, , , ,2,
153,PASS, , , , ,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS, , , , ,PASS, , , , , ,PASS, , , ,PASS, , , ,0,
154,EXC, , , , ,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,EXC,EXC, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, , , , ,PASS, , , , , ,EXC, , , ,EXC, , , ,20,
155,EXC, , , , ,EXC,EXC, ,EXC,EXC,FAIL,EXC,EXC,EXC,EXC, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, , , , ,FAIL, , , , , ,EXC, , , ,EXC, , , ,22,
156,EXC, , , , ,EXC,EXC, ,EXC,EXC,FAIL,EXC,EXC,EXC,EXC, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, , , , ,FAIL, , , , , ,EXC, , , ,EXC, , , ,22,
157,EXC, , , , ,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,EXC,EXC, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, , , , ,PASS, , , , , ,EXC, , , ,EXC, , , ,20,
158,PASS, , , , ,PASS,PASS, ,PASS,PASS,FAIL,PASS,PASS,PASS,PASS, , , , ,PASS,PASS, ,PASS,PASS, , , ,PASS,PASS,PASS,PASS,PASS, , , , ,FAIL, , , , , ,PASS, , , ,PASS, , , ,2,
159,EXC, , , , ,EXC,EXC, ,PASS,PASS, ,EXC,EXC,PASS,PASS, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, , , , , , , , , , ,EXC, , , ,EXC, , , ,16,
16, ,FAIL, ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , ,PASS, , , ,PASS, , , , , , ,PASS, , ,1,
160,EXC, , , , ,EXC,EXC, ,EXC,EXC, ,EXC,EXC,EXC,EXC, , , , ,EXC,EXC, ,EXC,EXC, , , ,EXC,EXC,EXC,EXC,EXC, , , , , , , , , , ,EXC, , , ,EXC, , , ,20,
