Mutant,org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeJson],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeJavaWithSlash],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeXmlSupplementaryCharacters],org.apache.commons.lang3.StringEscapeUtilsTest[testLang313],org.apache.commons.lang3.StringEscapeUtilsTest[testLang720],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeCsvWriter],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeHtmlHighUnicode],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeXmlSupplementaryCharacters],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeCsvString],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeCsvWriter],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeHtmlVersions],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeUnknownEntity],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeHiragana],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeXml],org.apache.commons.lang3.StringEscapeUtilsTest[testConstructor],org.apache.commons.lang3.StringUtilsTest[testUnescapeSurrogatePairs],org.apache.commons.lang3.StringUtilsTest[testEscapeSurrogatePairsLang858],org.apache.commons.lang3.text.translate.LookupTranslatorTest[testLang882],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeJava],org.apache.commons.lang3.StringEscapeUtilsTest[testStandaloneAmphersand],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeJava],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeEcmaScript],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeHtml],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeHtml4],org.apache.commons.lang3.text.translate.LookupTranslatorTest[testBasicLookup],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeCsvString],org.apache.commons.lang3.StringUtilsTest[testEscapeSurrogatePairs],org.apache.commons.lang3.StringEscapeUtilsTest[testEscapeXmlAllCharacters],org.apache.commons.lang3.StringEscapeUtilsTest[testLang708],org.apache.commons.lang3.reflect.TypeUtilsTest[testIsAssignable],org.apache.commons.lang3.StringEscapeUtilsTest[testUnescapeHexCharsHtml],org.apache.commons.lang3.text.translate.LookupTranslator_ESTest[test2],org.apache.commons.lang3.text.translate.LookupTranslator_ESTest[test3],org.apache.commons.lang3.text.translate.LookupTranslator_ESTest[test0],org.apache.commons.lang3.text.translate.LookupTranslator_ESTest[test4],org.apache.commons.lang3.text.translate.LookupTranslator_ESTest[test1],Total,Equiv?
29,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,2,
3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
30,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL,PASS,15,
31,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
32,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,15,
33,FAIL,PASS,PASS,PASS,PASS, ,PASS,PASS, , ,FAIL,PASS,PASS,FAIL, ,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL, ,14,
34,PASS,PASS,PASS,EXC,PASS, ,EXC,PASS, , ,EXC,EXC,EXC,EXC, ,EXC,PASS,PASS,EXC,EXC,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,PASS,PASS,EXC,PASS,EXC, ,PASS, ,12,
35,PASS,PASS,PASS,EXC,PASS, ,EXC,PASS, , ,EXC,EXC,EXC,PASS, ,EXC,PASS,PASS,EXC,PASS,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,8,
36,PASS,PASS,PASS,EXC,PASS, ,EXC,PASS, , ,EXC,EXC,EXC,EXC, ,EXC,PASS,PASS,EXC,EXC,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,PASS,PASS,EXC,PASS,EXC, ,PASS, ,12,
37,PASS,PASS,PASS,EXC,PASS, ,EXC,PASS, , ,EXC,EXC,EXC,EXC, ,EXC,PASS,PASS,EXC,EXC,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,PASS,PASS,EXC,PASS,EXC, ,PASS, ,12,
38,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,TIME,PASS,PASS,PASS,PASS, ,PASS, ,1,
39,PASS,PASS,PASS,EXC,PASS, ,EXC,PASS, , ,EXC,EXC,EXC,EXC, ,EXC,PASS,PASS,EXC,EXC,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,TIME,PASS,EXC,PASS,EXC, ,PASS, ,13,
4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
40,PASS,PASS,PASS,EXC,PASS, ,EXC,PASS, , ,EXC,EXC,EXC,EXC, ,EXC,PASS,PASS,EXC,EXC,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,TIME,PASS,EXC,PASS,EXC, ,PASS, ,13,
41,PASS,PASS,PASS,EXC,PASS, ,EXC,PASS, , ,EXC,EXC,EXC,EXC, ,EXC,PASS,PASS,EXC,EXC,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,PASS,PASS,EXC,PASS,EXC, ,PASS, ,12,
42,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,0,
43,PASS,PASS,PASS,EXC,PASS, ,EXC,PASS, , ,EXC,EXC,EXC,EXC, ,EXC,PASS,PASS,EXC,EXC,PASS,PASS,PASS,EXC,PASS, ,PASS,PASS,PASS,PASS,EXC,PASS,EXC, ,PASS, ,12,
44,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS, , ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS,PASS,TIME,PASS,PASS,PASS,PASS, ,PASS, ,1,
45, , , ,EXC, , ,EXC, , , ,EXC,EXC,EXC,PASS, ,EXC, , ,EXC,PASS, , , ,EXC, , , , , , ,PASS, ,EXC, , , ,9,
46, , , ,EXC, , ,PASS, , , ,EXC,EXC,EXC,EXC, ,PASS, , ,EXC,EXC, , , ,EXC, , , , , , ,EXC, ,EXC, , , ,10,
47, , , ,EXC, , ,PASS, , , ,PASS,EXC,EXC,EXC, ,PASS, , ,EXC,EXC, , , ,EXC, , , , , , ,EXC, ,EXC, , , ,9,
48, , , ,EXC, , ,EXC, , , ,EXC,EXC,EXC,FAIL, ,EXC, , ,EXC,FAIL, , , ,EXC, , , , , , ,PASS, ,PASS, , , ,10,
49, , , ,EXC, , ,EXC, , , ,EXC,EXC,EXC,EXC, ,EXC, , ,EXC,EXC, , , ,EXC, , , , , , ,EXC, ,EXC, , , ,12,
5,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,EXC,FAIL,PASS,16,
50,FAIL,PASS,PASS,FAIL,PASS, ,PASS,PASS, , ,FAIL,PASS,PASS,FAIL, ,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL, ,15,
51,FAIL,PASS,PASS,PASS,PASS, ,EXC,PASS, , ,FAIL,EXC,EXC,FAIL, ,EXC,PASS,FAIL,EXC,EXC,FAIL,FAIL,FAIL,EXC,FAIL, ,PASS,FAIL,FAIL,PASS,PASS,PASS,EXC, ,FAIL, ,19,
52,FAIL,PASS,PASS,EXC,PASS, ,EXC,PASS, , ,FAIL,EXC,EXC,FAIL, ,EXC,PASS,FAIL,EXC,EXC,FAIL,FAIL,FAIL,EXC,FAIL, ,PASS,FAIL,FAIL,PASS,PASS,PASS,EXC, ,FAIL, ,20,
53,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,PASS, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS, ,26,
54,PASS,PASS,PASS,FAIL,PASS, ,PASS,PASS, , ,FAIL,PASS,PASS,FAIL, ,PASS,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,FAIL,PASS, ,PASS,PASS,PASS,PASS,PASS,PASS,PASS, ,PASS, ,6,
55,FAIL,PASS,PASS,PASS,PASS, ,PASS,PASS, , ,FAIL,PASS,PASS,FAIL, ,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL, ,14,
56,FAIL,PASS,PASS,FAIL,PASS, ,PASS,PASS, , ,FAIL,PASS,PASS,FAIL, ,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS, ,FAIL, ,15,
57,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC, ,EXC,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,PASS, ,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,PASS, ,26,
58,EXC,EXC,PASS,FAIL,EXC, ,PASS,PASS, , ,FAIL,PASS,EXC,EXC, , ,PASS,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,FAIL, ,PASS,EXC,EXC,EXC,EXC,PASS, , ,FAIL, ,20,
59,FAIL,PASS,PASS,EXC,PASS, ,PASS,PASS, , ,FAIL,EXC,PASS,FAIL, , ,PASS,FAIL,EXC,EXC,FAIL,FAIL,FAIL,EXC,FAIL, ,PASS,FAIL,FAIL,PASS,EXC,PASS, , ,FAIL, ,17,
6,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,15,
60,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC, , ,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC,EXC, , ,EXC, ,27,
61,FAIL,PASS,PASS,EXC,PASS, ,PASS,PASS, , ,FAIL,EXC,PASS,FAIL, , ,PASS,FAIL,EXC,EXC,FAIL,FAIL,FAIL,EXC,FAIL, ,PASS,FAIL,FAIL,PASS,EXC,PASS, , ,FAIL, ,17,
62,FAIL,PASS,PASS,FAIL,PASS, ,PASS,PASS, , ,FAIL,PASS,PASS,FAIL, , ,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,PASS,FAIL,FAIL,PASS,PASS,PASS, , ,FAIL, ,15,
63,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC, , ,EXC,FAIL,EXC,EXC,EXC,EXC,EXC,EXC,FAIL, ,EXC,EXC,EXC,EXC,EXC,EXC, , ,FAIL, ,27,
64,FAIL,PASS,PASS,FAIL,PASS, ,PASS,PASS, , ,FAIL,PASS,PASS,FAIL, , ,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, ,PASS,FAIL,FAIL,PASS,PASS,PASS, , ,FAIL, ,15,
65,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC, , ,EXC,EXC,EXC,EXC, , ,EXC,PASS,EXC,EXC,EXC,EXC,EXC,EXC,PASS, ,EXC,EXC,EXC,EXC,EXC,EXC, , ,PASS, ,24,
66,FAIL, , ,FAIL, , , , , , ,FAIL, , ,FAIL, , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , ,FAIL,FAIL,PASS, , , , ,FAIL, ,15,
67,FAIL, , ,FAIL, , , , , , ,FAIL, , ,FAIL, , , ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , ,FAIL,FAIL,PASS, , , , , , ,14,
68,FAIL,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL, , ,FAIL,FAIL,FAIL,FAIL, ,FAIL,FAIL, ,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL, , ,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL, , , ,25,
69,TIME,TIME,TIME,TIME,TIME, ,TIME,TIME, , ,TIME,TIME,TIME,TIME, ,TIME,TIME, ,TIME,TIME,TIME,TIME,TIME,TIME, , ,TIME,TIME,TIME,TIME,TIME,FAIL,FAIL, , , ,26,
7,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,1,
8,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,PASS,PASS,EXC,EXC, ,PASS,EXC,17,
9,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC, ,EXC,EXC,35,
