Mutant,org.apache.commons.math.stat.FrequencyTest[testPcts],org.apache.commons.math.stat.FrequencyTest[testToString],org.apache.commons.math.stat.FrequencyTest[testAddNonComparable],org.apache.commons.math.stat.FrequencyTest[testAdd],org.apache.commons.math.stat.FrequencyTest[testIntegerValues],org.apache.commons.math.stat.FrequencyTest[testCounts],org.apache.commons.math.stat.FrequencyTest[testEmptyTable],org.apache.commons.math.stat.Frequency_ESTest[test11],org.apache.commons.math.stat.Frequency_ESTest[test10],org.apache.commons.math.stat.Frequency_ESTest[test05],org.apache.commons.math.stat.Frequency_ESTest[test03],org.apache.commons.math.stat.Frequency_ESTest[test14],org.apache.commons.math.stat.Frequency_ESTest[test00],org.apache.commons.math.stat.Frequency_ESTest[test16],org.apache.commons.math.stat.Frequency_ESTest[test04],org.apache.commons.math.stat.Frequency_ESTest[test15],org.apache.commons.math.stat.Frequency_ESTest[test02],org.apache.commons.math.stat.Frequency_ESTest[test09],org.apache.commons.math.stat.Frequency_ESTest[test08],org.apache.commons.math.stat.Frequency_ESTest[test18],org.apache.commons.math.stat.Frequency_ESTest[test06],org.apache.commons.math.stat.Frequency_ESTest[test17],org.apache.commons.math.stat.Frequency_ESTest[test07],org.apache.commons.math.stat.Frequency_ESTest[test12],org.apache.commons.math.stat.Frequency_ESTest[test01],org.apache.commons.math.stat.Frequency_ESTest[test13],Total,Equiv?
16, ,FAIL, , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,2,
160, , , ,FAIL, ,FAIL, , , , , , , , , , , , , ,PASS, , , , , , ,2,
161,FAIL,PASS, ,PASS,FAIL,FAIL, , , , , , , , , , , , , ,FAIL, ,PASS,FAIL,PASS, , ,5,
17, ,FAIL, , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,2,
18, , , , ,FAIL, , , , , , ,PASS, , , , , , , , , , , , , , ,1,
19, , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,PASS,0,
2, , , , , ,EXC, , , , ,EXC, ,EXC,EXC, ,EXC, , , , , , , , ,EXC,PASS,6,
20,EXC,EXC,EXC,EXC,EXC,EXC, , , , , ,EXC, ,EXC, ,PASS, , , ,EXC, ,EXC,EXC,EXC,EXC, ,13,
21, , , , ,EXC, , , , , , , , , , ,PASS, , , , , , , , , , ,1,
22,FAIL,PASS,PASS,PASS,FAIL,FAIL, , , , , ,PASS, ,PASS, ,PASS, , , ,PASS, ,PASS,PASS,PASS,PASS, ,3,
23,EXC,EXC,EXC,EXC,EXC,EXC, , , , , ,EXC, ,EXC, ,EXC, , , ,EXC, ,EXC,EXC,EXC,EXC, ,14,
24,EXC,EXC,EXC,EXC,EXC,EXC, , , , , ,EXC, ,EXC, ,EXC, , , ,EXC, ,EXC,EXC,EXC,EXC, ,14,
25,FAIL,PASS,PASS,PASS,FAIL,FAIL, , , , , ,PASS, ,PASS, ,PASS, , , ,PASS, ,PASS,PASS,PASS,PASS, ,3,
26,FAIL,PASS,PASS,FAIL,FAIL,FAIL, , , , , ,PASS, ,PASS, ,PASS, , , ,FAIL, ,FAIL,FAIL,FAIL,PASS, ,8,
27,FAIL,PASS,PASS,PASS,FAIL,FAIL, , , , , ,PASS, ,PASS, ,PASS, , , ,PASS, ,PASS,PASS,FAIL,PASS, ,4,
28,FAIL,FAIL,PASS,FAIL,FAIL,FAIL, , , , , ,PASS, ,PASS, ,PASS, , , ,FAIL, ,FAIL,FAIL,FAIL,PASS, ,9,
29,FAIL,PASS, , ,FAIL,FAIL, , , , , , , ,PASS, , , , , , , , , , , , ,3,
3, ,EXC, , , , , , , , , , , , , , , , , , , , , ,EXC, , ,2,
30,FAIL,PASS, , ,FAIL,FAIL, , , , , , , ,PASS, , , , , , , , , , , , ,3,
31,FAIL,PASS, , ,FAIL,FAIL, , , , , , , ,PASS, , , , , , , , , , , , ,3,
32,FAIL,PASS, , ,FAIL,FAIL, , , , , , , ,PASS, , , , , , , , , , , , ,3,
33,FAIL,PASS, , ,FAIL,FAIL, , , , , , , ,PASS, , , , , , , , , , , , ,3,
34,FAIL,PASS, , ,FAIL,FAIL, , , , , , , ,PASS, , , , , , , , , , , , ,3,
35,FAIL,PASS, , ,FAIL,FAIL, , , , , , , ,PASS, , , , , , , , , , , , ,3,
36, , , ,PASS, , , , , , , , , , , , , , , , , , , , , , ,0,
37,PASS,PASS,PASS,FAIL,FAIL,FAIL, , , , , , , ,PASS, , , , , , , ,FAIL,FAIL, , , ,5,
38, , , , ,FAIL,FAIL, , , , , , , ,PASS, , , , , , , , , , , , ,2,
39,PASS,PASS, , , ,FAIL, , , , , , , , , , , , , , , , , , ,PASS, ,1,
4, ,EXC, , , , , , , , , , , , , , , , , , , , , ,EXC, , ,2,
40, , , ,FAIL, ,FAIL, , , , , , , , , , , , , ,FAIL, , , ,FAIL, , ,4,
41, , ,PASS, , ,FAIL, , , , ,PASS, , , , , , , , , , , , , , , ,1,
42,EXC,EXC, , ,EXC,EXC, , , , , , , , , , , , , , , , ,EXC, , , ,5,
43,FAIL,PASS, ,FAIL,FAIL,FAIL,FAIL, ,EXC, , , ,FAIL, ,FAIL, ,EXC,FAIL, ,PASS,EXC,PASS,FAIL,FAIL, , ,13,
44,FAIL,PASS, ,FAIL,FAIL,FAIL,FAIL, ,EXC, , , ,FAIL, ,FAIL, ,EXC,FAIL, ,FAIL,EXC,FAIL,FAIL,FAIL, , ,15,
45,EXC,EXC, ,EXC,EXC,EXC,EXC, ,EXC, , , ,EXC, ,EXC, ,EXC,EXC, ,EXC,EXC,EXC,EXC,EXC, , ,16,
46,TIME,TIME, ,TIME,TIME,TIME, , , , , , , , , , , , , ,PASS, ,PASS,PASS,PASS, , ,5,
47,FAIL,PASS, ,FAIL,FAIL,FAIL,PASS, ,PASS, , , ,PASS, ,PASS, ,PASS,PASS, ,FAIL,PASS,FAIL,FAIL,FAIL, , ,8,
48, , , , ,FAIL,FAIL,PASS,PASS, , , , , , , , , , , , , , , , , , ,2,
49,FAIL,PASS, ,FAIL,PASS,FAIL,FAIL,FAIL, ,FAIL, , , , , , , , ,FAIL, , , ,PASS,PASS, , ,7,
5, ,FAIL, , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,2,
50,FAIL,PASS, ,FAIL,PASS,FAIL,FAIL,FAIL, ,FAIL, , , , , , , , ,FAIL, , , ,PASS,PASS, , ,7,
51,FAIL,PASS, ,FAIL,FAIL,FAIL,PASS,PASS, ,PASS, , , , , , , , ,PASS, , , ,FAIL,FAIL, , ,6,
52,FAIL,PASS, ,FAIL,FAIL,FAIL,EXC,EXC, ,EXC, , , , , , , , ,EXC, , , ,FAIL,FAIL, , ,10,
53,FAIL,PASS, ,FAIL,FAIL,FAIL,PASS,PASS, ,PASS, , , , , , , , ,PASS, , , ,FAIL,FAIL, , ,6,
54,EXC,PASS, ,PASS,PASS,EXC,EXC,EXC, ,EXC, , , , , , , , ,EXC, , , ,PASS,PASS, , ,6,
55,FAIL,PASS, ,FAIL,FAIL,FAIL, , , , , , , , , , , , , , , , ,FAIL,FAIL, , ,6,
56,FAIL,PASS, ,FAIL,FAIL,FAIL,PASS,PASS, ,PASS, , , , , , , , ,PASS, , , ,FAIL,FAIL, , ,6,
57, , , , ,FAIL,FAIL,PASS, , , , , , , , , , , ,PASS, , , , , , , ,2,
58, , , , ,FAIL,FAIL,PASS,PASS, , , , , , , , , , , , , , , , , , ,2,
59, , , , , ,FAIL, , , ,PASS, , , , , , , , , , , , , , , , ,1,
6, ,FAIL, , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,2,
60,FAIL,PASS, ,FAIL, ,FAIL,PASS, , , , , ,PASS, ,PASS, , ,PASS, , , , , ,FAIL, , ,4,
61,PASS,PASS, ,PASS, ,PASS,PASS, , , , , ,PASS, ,PASS, , ,PASS, , , , , ,FAIL, , ,1,
62,PASS,PASS, ,PASS, ,PASS,PASS, , , , , ,PASS, ,PASS, , ,PASS, , , , , ,PASS, , ,0,
63,FAIL,PASS, ,FAIL, ,FAIL,PASS, , , , , ,PASS, ,PASS, , ,PASS, , , , , ,FAIL, , ,4,
64,PASS,PASS, ,PASS, ,PASS,PASS, , , , , ,PASS, ,PASS, , ,PASS, , , , , ,PASS, , ,0,
65,PASS,PASS, ,PASS, ,PASS,PASS, , , , , ,PASS, ,PASS, , ,PASS, , , , , ,PASS, , ,0,
66,FAIL,PASS, ,FAIL, ,FAIL,PASS, , , , , ,PASS, ,PASS, , ,PASS, , , , , ,FAIL, , ,4,
67,FAIL,PASS, ,FAIL, ,FAIL,PASS, , , , , ,PASS, ,PASS, , ,PASS, , , , , ,FAIL, , ,4,
68,PASS,PASS, ,PASS, ,PASS,PASS, , , , , ,PASS, ,PASS, , ,PASS, , , , , ,PASS, , ,0,
69,FAIL,PASS, ,FAIL, ,FAIL,PASS, , , , , ,PASS, ,PASS, , ,PASS, , , , , ,FAIL, , ,4,
7, ,EXC, , , , , , , , , , , , , , , , , , , , , ,EXC, , ,2,
70, , , , , ,PASS,PASS, , , , , ,PASS, ,PASS, , ,PASS, , , , , , , , ,0,
71,FAIL,PASS, ,FAIL, ,FAIL, , , , , , , , , , , , , , , , , ,FAIL, , ,4,
72,FAIL,PASS, ,FAIL, ,FAIL, , , , , , , , , , , , , , , , , ,PASS, , ,3,
73,FAIL,PASS, ,FAIL, ,FAIL, , , , , , , , , , , , , , , , , ,FAIL, , ,4,
74,FAIL,PASS, ,FAIL, ,FAIL, , , , , , , , , , , , , , , , , ,FAIL, , ,4,
75,FAIL, , , , , ,FAIL, , , , , ,FAIL, , , , , , , , , , , , , ,3,
76,FAIL, , , , , , , , , , , , , ,FAIL, , , , , , , , , , , ,2,
77, , , ,FAIL, ,FAIL, , , , , , , , , , , ,FAIL, , , , , , , , ,3,
78,PASS,PASS, ,PASS,PASS,EXC,EXC, , , , , , , , , ,EXC, , ,PASS,EXC,FAIL,PASS,FAIL, , ,6,
79,PASS,PASS, ,PASS,PASS,EXC,EXC, , , , , , , , , ,EXC, , ,PASS,EXC,PASS,PASS,PASS, , ,4,
8, ,EXC, , , , , , , , , , , , , , , , , , , , , ,EXC, , ,2,
80,FAIL,PASS, ,FAIL,FAIL,FAIL,EXC, , , , , , , , , ,EXC, , ,PASS,EXC,FAIL,FAIL,FAIL, , ,10,
81,PASS,PASS, ,PASS,PASS,EXC,EXC, , , , , , , , , ,EXC, , ,PASS,EXC,PASS,PASS,PASS, , ,4,
82,PASS,PASS, ,PASS,PASS,PASS,PASS, , , , , , , , , ,PASS, , ,PASS,PASS,PASS,PASS,PASS, , ,0,
83,FAIL,PASS, ,FAIL,FAIL,FAIL,EXC, , , , , , , , , ,EXC, , ,PASS,EXC,FAIL,FAIL,FAIL, , ,10,
84,FAIL,PASS, ,FAIL,FAIL,FAIL,PASS, , , , , , , , , ,PASS, , ,PASS,PASS,FAIL,FAIL,FAIL, , ,7,
85,PASS,PASS, ,PASS,PASS,EXC,EXC, , , , , , , , , ,EXC, , ,PASS,EXC,PASS,PASS,PASS, , ,4,
86,FAIL,PASS, ,FAIL,FAIL,FAIL,PASS, , , , , , , , , ,PASS, , ,PASS,PASS,FAIL,FAIL,FAIL, , ,7,
87, , , , , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , ,FAIL, , , , , ,4,
88, , , , , ,FAIL,FAIL, , , , , , , , , ,FAIL, , , ,FAIL, , , , , ,4,
89, , , , , ,EXC,EXC, , , , , , , , , ,EXC, , , ,EXC, , , , , ,4,
9, ,PASS, , , , , , , , , , , , , , , , , , , , , ,FAIL, , ,1,
90,FAIL, , , ,FAIL,FAIL, , , , , , , , , , , , , , , ,FAIL, , , , ,4,
91,PASS,PASS, ,PASS,PASS,FAIL, , , , , , , , , , , , , ,PASS, ,PASS,PASS,PASS, , ,1,
92,EXC,EXC, ,EXC,EXC,EXC, , , , , , , , , , , , , ,EXC, ,EXC,EXC,EXC, , ,9,
93,EXC,EXC, ,EXC,EXC,EXC, , , , , , , , , , , , , ,EXC, ,EXC,EXC,EXC, , ,9,
94,PASS,PASS, ,PASS,PASS,FAIL, , , , , , , , , , , , , ,PASS, ,PASS,PASS,PASS, , ,1,
95,EXC,EXC, ,EXC,EXC,EXC, , , , , , , , , , , , , ,EXC, ,EXC,EXC,EXC, , ,9,
96,FAIL,PASS, ,FAIL,PASS,FAIL, , , , , , , , , , , , , ,PASS, ,PASS,FAIL,PASS, , ,4,
97,FAIL,PASS, ,FAIL,PASS,FAIL, , , , , , , , , , , , , ,PASS, ,PASS,FAIL,PASS, , ,4,
98,FAIL,PASS, ,EXC,FAIL,FAIL, , , , , , , , , , , , , ,PASS, ,PASS,PASS,PASS, , ,4,
99,FAIL,PASS, ,PASS,FAIL,EXC, , , , , , , , , , , , , ,EXC, ,PASS,EXC,PASS, , ,5,
