Mutant,org.apache.commons.lang3.LocaleUtilsTest[testIsAvailableLocale],org.apache.commons.lang3.LocaleUtilsTest[testAvailableLocaleList],org.apache.commons.lang3.LocaleUtilsTest[testLang328],org.apache.commons.lang3.LocaleUtilsTest[testLang865],org.apache.commons.lang3.LocaleUtilsTest[testToLocale_2Part],org.apache.commons.lang3.LocaleUtilsTest[testConstructor],org.apache.commons.lang3.LocaleUtilsTest[testCountriesByLanguage],org.apache.commons.lang3.LocaleUtilsTest[testLocaleLookupList_LocaleLocale],org.apache.commons.lang3.LocaleUtilsTest[testLanguagesByCountry],org.apache.commons.lang3.LocaleUtilsTest[testToLocale_1Part],org.apache.commons.lang3.LocaleUtilsTest[testLocaleLookupList_Locale],org.apache.commons.lang3.LocaleUtilsTest[testToLocale_3Part],org.apache.commons.lang3.LocaleUtilsTest[testParseAllLocales],org.apache.commons.lang3.LocaleUtilsTest[testAvailableLocaleSet],org.apache.commons.lang3.LocaleUtils_ESTest[test05],org.apache.commons.lang3.LocaleUtils_ESTest[test27],org.apache.commons.lang3.LocaleUtils_ESTest[test01],org.apache.commons.lang3.LocaleUtils_ESTest[test23],org.apache.commons.lang3.LocaleUtils_ESTest[test06],org.apache.commons.lang3.LocaleUtils_ESTest[test07],org.apache.commons.lang3.LocaleUtils_ESTest[test04],org.apache.commons.lang3.LocaleUtils_ESTest[test26],org.apache.commons.lang3.LocaleUtils_ESTest[test20],org.apache.commons.lang3.LocaleUtils_ESTest[test21],org.apache.commons.lang3.LocaleUtils_ESTest[test22],org.apache.commons.lang3.LocaleUtils_ESTest[test29],org.apache.commons.lang3.LocaleUtils_ESTest[test09],org.apache.commons.lang3.LocaleUtils_ESTest[test14],org.apache.commons.lang3.LocaleUtils_ESTest[test16],org.apache.commons.lang3.LocaleUtils_ESTest[test10],org.apache.commons.lang3.LocaleUtils_ESTest[test32],org.apache.commons.lang3.LocaleUtils_ESTest[test11],org.apache.commons.lang3.LocaleUtils_ESTest[test12],org.apache.commons.lang3.LocaleUtils_ESTest[test17],org.apache.commons.lang3.LocaleUtils_ESTest[test18],org.apache.commons.lang3.LocaleUtils_ESTest[test30],org.apache.commons.lang3.LocaleUtils_ESTest[test03],org.apache.commons.lang3.LocaleUtils_ESTest[test25],org.apache.commons.lang3.LocaleUtils_ESTest[test28],org.apache.commons.lang3.LocaleUtils_ESTest[test13],org.apache.commons.lang3.LocaleUtils_ESTest[test15],org.apache.commons.lang3.LocaleUtils_ESTest[test31],org.apache.commons.lang3.LocaleUtils_ESTest[test19],org.apache.commons.lang3.LocaleUtils_ESTest[test33],org.apache.commons.lang3.LocaleUtils_ESTest[test24],org.apache.commons.lang3.LocaleUtils_ESTest[test08],org.apache.commons.lang3.LocaleUtils_ESTest[test02],org.apache.commons.lang3.LocaleUtils_ESTest[test00],Total,Equiv?
11, , ,EXC,EXC,EXC, , , , ,EXC, ,EXC,EXC, , , , ,EXC,PASS,EXC, , ,PASS,PASS,PASS, ,PASS,PASS,EXC,PASS, ,EXC,PASS,PASS,PASS, ,EXC, , ,PASS,PASS, ,EXC, ,PASS,PASS, , ,12,
110, , ,FAIL, ,FAIL, , , , ,EXC, ,FAIL,EXC, , , , ,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,EXC, , , , ,FAIL,FAIL, ,FAIL, , , , , ,EXC, ,FAIL, , , ,15,
111, , ,FAIL, ,FAIL, , , , ,FAIL, ,FAIL,FAIL, , , , ,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,PASS, , , , ,FAIL,FAIL, ,FAIL, , , , , ,EXC, ,FAIL, , , ,14,
112, , ,PASS, ,PASS, , , , ,EXC, ,PASS,EXC, , , , ,PASS, , , , ,PASS,PASS,PASS, , , ,EXC, , , , ,PASS,PASS, ,PASS, , , , , ,PASS, ,PASS, , , ,3,
113, , ,FAIL, ,FAIL, , , , ,FAIL, ,FAIL,FAIL, , , , ,FAIL, , , , ,FAIL,FAIL,FAIL, , , ,PASS, , , , ,FAIL,FAIL, ,FAIL, , , , , ,EXC, ,FAIL, , , ,14,
114, , , , , , , , , ,EXC, , ,EXC, , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , ,3,
115, , ,PASS, ,PASS, , , , ,EXC, ,PASS,PASS, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , ,PASS,PASS, ,PASS, , , , , ,PASS, ,PASS, , , ,1,
116, , ,PASS, ,PASS, , , , ,EXC, ,PASS,PASS, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , ,PASS,PASS, ,PASS, , , , , ,PASS, ,PASS, , , ,1,
117, , ,EXC, ,PASS, , , , ,PASS, ,EXC,EXC, , , , ,EXC, , , , ,PASS,PASS,PASS, , , , , , , , ,PASS,PASS, ,EXC, , , , , ,PASS, ,PASS, , , ,5,
118, , ,EXC, ,EXC, , , , ,PASS, ,PASS,EXC, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , ,PASS,PASS, ,PASS, , , , , ,EXC, ,PASS, , , ,4,
119, , ,EXC, ,EXC, , , , ,EXC, ,PASS,EXC, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , ,PASS,PASS, ,PASS, , , , , ,EXC, ,PASS, , , ,5,
12, , ,PASS,PASS,PASS, , , , ,EXC, ,PASS,PASS, , , , ,PASS,EXC,PASS, , ,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, ,PASS,PASS, , ,2,
120, , ,EXC, ,PASS, , , , ,EXC, ,EXC,EXC, , , , ,EXC, , , , ,PASS,PASS,PASS, , , , , , , , ,PASS,PASS, ,EXC, , , , , ,PASS, ,PASS, , , ,6,
121, , ,EXC, ,EXC, , , , ,EXC, ,EXC,EXC, , , , ,EXC, , , , ,PASS,PASS,PASS, , , , , , , , ,PASS,PASS, ,EXC, , , , , ,EXC, ,PASS, , , ,8,
122, , ,PASS, ,PASS, , , , ,EXC, ,PASS,PASS, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , ,PASS,PASS, ,PASS, , , , , ,PASS, ,PASS, , , ,1,
123, , ,EXC, ,EXC, , , , ,PASS, ,EXC,EXC, , , , ,EXC, , , , ,PASS,PASS,PASS, , , , , , , , ,PASS,PASS, ,EXC, , , , , ,EXC, ,PASS, , , ,7,
124, , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , ,0,
125, , ,EXC, ,EXC, , , , , , ,EXC,EXC, , , , ,EXC, , , , ,PASS,PASS,PASS, , , , , , , , , ,PASS, ,EXC, , , , , ,EXC, ,PASS, , , ,7,
126, , ,EXC, ,EXC, , , , , , ,EXC,EXC, , , , ,EXC, , , , ,EXC,EXC,EXC, , , , , , , , , ,EXC, ,EXC, , , , , ,EXC, ,EXC, , , ,12,
127, , ,PASS, ,PASS, , , , , , ,PASS,PASS, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , , ,PASS, ,PASS, , , , , ,PASS, ,PASS, , , ,0,
128, , ,EXC, ,EXC, , , , , , ,EXC,EXC, , , , ,EXC, , , , ,PASS,PASS,PASS, , , , , , , , , ,PASS, ,EXC, , , , , ,EXC, ,PASS, , , ,7,
129, , ,EXC, ,EXC, , , , , , ,EXC,EXC, , , , ,EXC, , , , ,PASS,PASS,PASS, , , , , , , , , ,PASS, ,EXC, , , , , ,EXC, ,PASS, , , ,7,
13, , ,PASS,PASS,PASS, , , , ,EXC, ,PASS,PASS, , , , ,PASS,EXC,PASS, , ,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, ,PASS,PASS, , ,2,
130, , ,PASS, ,FAIL, , , , , , ,PASS,PASS, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , , ,PASS, ,PASS, , , , , ,PASS, ,PASS, , , ,1,
131, , ,EXC, ,EXC, , , , , , ,EXC,EXC, , , , ,EXC, , , , ,PASS,PASS,PASS, , , , , , , , , ,PASS, ,EXC, , , , , ,EXC, ,PASS, , , ,7,
132, , ,PASS, ,FAIL, , , , , , ,PASS,PASS, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , , ,PASS, ,PASS, , , , , ,PASS, ,PASS, , , ,1,
133, , ,EXC, ,EXC, , , , , , ,EXC,EXC, , , , ,EXC, , , , ,PASS,PASS,PASS, , , , , , , , , ,PASS, ,EXC, , , , , ,EXC, ,PASS, , , ,7,
134, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , , , ,0,
135, , ,EXC, ,EXC, , , , , , ,EXC,EXC, , , , ,EXC, , , , ,PASS,PASS,PASS, , , , , , , , , , , ,EXC, , , , , ,EXC, ,PASS, , , ,7,
136, , ,EXC, ,EXC, , , , , , ,EXC,EXC, , , , ,EXC, , , , ,EXC,EXC,EXC, , , , , , , , , , , ,EXC, , , , , ,EXC, ,EXC, , , ,11,
137, , ,EXC, ,FAIL, , , , , , ,FAIL,FAIL, , , , ,PASS, , , , ,FAIL,FAIL,FAIL, , , , , , , , , , , ,EXC, , , , , ,PASS, ,FAIL, , , ,9,
138, , ,EXC, ,FAIL, , , , , , ,FAIL,FAIL, , , , ,PASS, , , , ,PASS,FAIL,FAIL, , , , , , , , , , , ,EXC, , , , , ,PASS, ,FAIL, , , ,8,
139, , ,PASS, ,FAIL, , , , , , ,FAIL,FAIL, , , , ,PASS, , , , ,PASS,FAIL,FAIL, , , , , , , , , , , ,PASS, , , , , ,PASS, ,FAIL, , , ,6,
14, , ,EXC,EXC,EXC, , , , ,PASS, ,EXC,EXC, , , , ,EXC,PASS,EXC, , ,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,EXC,PASS,PASS,PASS, ,EXC, , ,PASS,PASS, ,EXC, ,PASS,PASS, , ,10,
140, , ,EXC, ,FAIL, , , , , , ,PASS,PASS, , , , ,PASS, , , , ,FAIL,PASS,PASS, , , , , , , , , , , ,EXC, , , , , ,PASS, ,PASS, , , ,4,
141, , ,PASS, ,FAIL, , , , , , ,PASS,PASS, , , , ,PASS, , , , ,FAIL,PASS,PASS, , , , , , , , , , , ,PASS, , , , , ,PASS, ,PASS, , , ,2,
142, , ,EXC, ,PASS, , , , , , ,PASS,PASS, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , , , , ,EXC, , , , , ,PASS, ,PASS, , , ,2,
143, , ,PASS, ,FAIL, , , , , , ,FAIL,FAIL, , , , ,PASS, , , , ,FAIL,FAIL,FAIL, , , , , , , , , , , ,PASS, , , , , ,PASS, ,FAIL, , , ,7,
144, , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , ,2,
145, , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , ,2,
146, , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , , , , , , , ,2,
147, , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , ,2,
148, , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , ,0,
149, , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , , , , , , , ,1,
15, , ,PASS,PASS,PASS, , , , ,EXC, ,PASS,EXC, , , , ,PASS,PASS,PASS, , ,PASS,PASS,PASS, ,PASS,PASS,EXC,PASS, ,PASS,PASS,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, ,PASS,PASS, , ,3,
150, , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , ,2,
151, , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , , , , , , , ,2,
152, , , , ,EXC, , , , , , ,EXC,EXC, , , , ,EXC, , , , ,PASS,PASS,PASS, , , , , , , , , , , , , , , , , ,EXC, ,PASS, , , ,5,
153, , , , ,EXC, , , , , , ,EXC,EXC, , , , ,EXC, , , , ,EXC,EXC,EXC, , , , , , , , , , , , , , , , , ,EXC, ,EXC, , , ,9,
154, , , , ,FAIL, , , , , , ,PASS,PASS, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , , , , , , , , , , ,PASS, ,PASS, , , ,1,
155, , , , ,FAIL, , , , , , ,PASS,PASS, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , , , , , , , , , , ,PASS, ,PASS, , , ,1,
156, , , , ,EXC, , , , , , ,EXC,EXC, , , , ,EXC, , , , ,PASS,PASS,PASS, , , , , , , , , , , , , , , , , ,EXC, ,PASS, , , ,5,
157, , , , ,FAIL, , , , , , ,PASS,PASS, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , , , , , , , , , , ,PASS, ,PASS, , , ,1,
158, , , , ,FAIL, , , , , , ,PASS,PASS, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , , , , , , , , , , ,PASS, ,PASS, , , ,1,
159, , , , ,FAIL, , , , , , ,PASS,PASS, , , , ,PASS, , , , ,PASS,PASS,PASS, , , , , , , , , , , , , , , , , ,PASS, ,PASS, , , ,1,
16, , ,PASS,PASS,PASS, , , , ,EXC, ,PASS,EXC, , , , ,PASS,EXC,PASS, , ,PASS,PASS,PASS, ,PASS,PASS,EXC,PASS, ,PASS,PASS,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, ,PASS,PASS, , ,4,
160, , , , ,EXC, , , , , , ,EXC,EXC, , , , ,EXC, , , , ,PASS,PASS,PASS, , , , , , , , , , , , , , , , , ,EXC, ,PASS, , , ,5,
161, , , , ,PASS, , , , , , , , , , , , , , , , , ,PASS,PASS, , , , , , , , , , , , , , , , , , , , , , , , ,0,
162, , , , ,EXC, , , , , , ,PASS,EXC, , , , ,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , ,EXC, ,PASS, , , ,3,
163, , , , ,EXC, , , , , , ,PASS,EXC, , , , ,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , ,EXC, ,PASS, , , ,3,
164, , , , ,EXC, , , , , , ,FAIL,EXC, , , , ,PASS, , , , , , ,FAIL, , , , , , , , , , , , , , , , , ,EXC, ,FAIL, , , ,6,
165, , , , ,EXC, , , , , , ,PASS,EXC, , , , ,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , ,EXC, ,PASS, , , ,3,
166, , , , ,PASS, , , , , , ,PASS,PASS, , , , ,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , ,PASS, ,PASS, , , ,0,
167, , , , ,EXC, , , , , , ,FAIL,EXC, , , , ,PASS, , , , , , ,FAIL, , , , , , , , , , , , , , , , , ,EXC, ,FAIL, , , ,6,
168, , , , ,PASS, , , , , , ,FAIL,FAIL, , , , ,PASS, , , , , , ,FAIL, , , , , , , , , , , , , , , , , ,PASS, ,FAIL, , , ,4,
169, , , , ,EXC, , , , , , ,PASS,EXC, , , , ,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , ,EXC, ,PASS, , , ,3,
17, , ,EXC,EXC,EXC, , , , ,EXC, ,EXC,EXC, , , , ,EXC,EXC,EXC, , ,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,EXC,PASS,PASS,PASS, ,EXC, , ,PASS,PASS, ,EXC, ,PASS,PASS, , ,12,
170, , , , ,PASS, , , , , , ,FAIL,FAIL, , , , ,PASS, , , , , , ,FAIL, , , , , , , , , , , , , , , , , ,PASS, ,FAIL, , , ,4,
171, , , , ,FAIL, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , ,3,
172, , , , ,EXC, , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , ,3,
173, , , , ,FAIL, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , , , ,3,
174, , , , ,EXC, , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , ,3,
175, , , , ,FAIL, , , , , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , , , ,2,
176, , , , ,EXC, , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , ,3,
177, , , , ,EXC, , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , ,3,
178, , , , ,EXC, , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , ,3,
179, , , , ,EXC, , , , , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , , , ,3,
18, , ,EXC,EXC,EXC, , , , ,EXC, ,EXC,EXC, , , , ,EXC,EXC,EXC, , ,PASS,PASS,PASS, ,PASS,PASS,EXC,PASS, ,EXC,PASS,PASS,PASS, ,EXC, , ,PASS,PASS, ,EXC, ,PASS,PASS, , ,13,
180, , , , , , , , , , , ,FAIL,PASS, , , , ,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , ,PASS, , , ,1,
181, , , , , , , , , , , ,FAIL,PASS, , , , ,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , ,PASS, , , ,1,
182, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , ,PASS, , , ,3,
183, , , , , , , , , , , ,EXC,PASS, , , , ,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , ,PASS, , , ,1,
184, , , , , , , , , , , ,EXC,PASS, , , , ,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , ,PASS, , , ,1,
185, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , ,PASS, , , ,3,
186, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , ,PASS, , , ,3,
187, , , , , , , , , , , ,FAIL,PASS, , , , ,PASS, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , ,PASS, , , ,1,
188, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , ,PASS, , , , , , , , , , , , , , , , , , , ,PASS, , , ,3,
189, , , , , , , , , , , ,PASS, , , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , ,0,
19, , ,PASS,PASS,PASS, , , , ,EXC, ,PASS,PASS, , , , ,PASS,EXC,PASS, , ,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS,PASS,PASS,PASS, ,PASS, , ,PASS,PASS, ,PASS, ,PASS,PASS, , ,2,
190, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , ,3,
191, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , ,EXC, , , ,4,
192, , , , , , , , , , , ,PASS,PASS, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , ,1,
193, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , ,4,
194, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , ,4,
195, , , , , , , , , , , ,FAIL,PASS, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , ,1,
196, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , ,3,
197, , , , , , , , , , , ,FAIL,PASS, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , ,FAIL, , , ,2,
198, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , ,3,
199, , , , , , , , , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,PASS, , , ,0,
2,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,2,
20, , ,EXC,EXC,EXC, , , , ,EXC, ,EXC,EXC, , , , ,EXC,PASS,EXC, , ,PASS,PASS,PASS, ,PASS,PASS,EXC,PASS, ,EXC,PASS,PASS,PASS, ,EXC, , ,PASS,PASS, ,EXC, ,PASS,PASS, , ,12,
200, , , , , , , , , , , ,FAIL,FAIL, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
201, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
202, , , , , , , , , , , ,FAIL,FAIL, , , , ,FAIL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
203, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
204, , , , , , , , , , , ,FAIL,FAIL, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
205, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
206, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
207, , , , , , , , , , , ,EXC,EXC, , , , ,EXC, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,
208, , , , , , , , , , , ,FAIL,FAIL, , , , ,PASS, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,
