Mutant,org.apache.commons.math.distribution.FDistributionTest[testDfAccessors],org.apache.commons.math.distribution.FDistributionTest[testInverseCumulativeProbabilityExtremes],org.apache.commons.math.distribution.FDistributionTest[testIllegalArguments],org.apache.commons.math.stat.inference.OneWayAnovaTest[testAnovaPValue],org.apache.commons.math.distribution.FDistributionTest[testCumulativeProbabilityExtremes],org.apache.commons.math.distribution.FDistributionTest[testCumulativeProbabilities],org.apache.commons.math.distribution.FDistributionTest[testConsistency],org.apache.commons.math.distribution.FDistributionTest[testLargeDegreesOfFreedom],org.apache.commons.math.distribution.FDistributionTest[testInverseCumulativeProbabilities],org.apache.commons.math.stat.inference.TestUtilsTest[testOneWayAnovaUtils],org.apache.commons.math.stat.inference.OneWayAnovaTest[testAnovaTest],org.apache.commons.math.distribution.FDistributionTest[testSmallDegreesOfFreedom],org.apache.commons.math.distribution.FDistributionImpl_ESTest[test5],org.apache.commons.math.distribution.FDistributionImpl_ESTest[test2],org.apache.commons.math.distribution.FDistributionImpl_ESTest[test1],org.apache.commons.math.distribution.FDistributionImpl_ESTest[test3],org.apache.commons.math.distribution.FDistributionImpl_ESTest[test4],org.apache.commons.math.distribution.FDistributionImpl_ESTest[test0],Total,Equiv?
111,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,0,
112,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,18,
113,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,18,
114,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,2,
115,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,18,
116,PASS, , , , , , , , , , , ,PASS, , , , , ,0,
117,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL,11,
118,FAIL, , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, ,FAIL,FAIL,PASS, ,FAIL,11,
12, , , , ,FAIL, , , ,TIME, , ,TIME, , , , , ,PASS,3,
13, , , , ,FAIL, , , ,PASS, , ,PASS, , , , , ,PASS,1,
14, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
15, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
16, , , ,FAIL, ,FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,PASS,6,
17, , , ,FAIL, ,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,6,
18, , , ,FAIL, ,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,7,
19, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,TIME, , , , , ,FAIL,8,
2,FAIL,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL,11,
20, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
21, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,PASS, , , , , ,FAIL,7,
22, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
23, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
24, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
25, , , ,FAIL, ,FAIL,PASS,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,PASS,6,
26, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
27, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
28, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
29, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
3, , , ,FAIL,PASS,FAIL,PASS,FAIL,FAIL,PASS,PASS,FAIL, , , , , ,PASS,5,
30, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
31, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
32, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
33, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
34, , , ,FAIL, ,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS, , , , , ,FAIL,5,
35, , , ,FAIL, ,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS, , , , , ,FAIL,5,
36, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
37, , , ,FAIL, ,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS, , , , , ,FAIL,5,
38, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
39, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
4, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , , ,PASS,0,
40, , , ,FAIL, ,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS, , , , , ,PASS,5,
41, , , ,FAIL, ,FAIL,PASS,FAIL,FAIL,PASS,PASS,PASS, , , , , ,FAIL,5,
42, , , ,FAIL, ,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL, , , , , ,FAIL,8,
43, , , ,FAIL, ,FAIL,PASS,FAIL,FAIL,PASS,FAIL,PASS, , , , , ,PASS,5,
44, , , ,FAIL,PASS,FAIL,PASS,FAIL,TIME,PASS,FAIL,FAIL, , , , , ,PASS,6,
45, ,FAIL,PASS, , , , ,PASS,PASS, , ,PASS, ,FAIL,PASS, , ,PASS,2,
46, ,PASS,FAIL, , , , ,PASS,PASS, , ,PASS, ,PASS,PASS, , ,PASS,1,
47, ,FAIL,FAIL, , , , ,FAIL,FAIL, , ,FAIL, ,FAIL,PASS, , ,FAIL,7,
48, ,PASS,FAIL, , , , ,PASS,PASS, , ,PASS, ,PASS,PASS, , ,PASS,1,
49, ,PASS,FAIL, , , , ,PASS,PASS, , ,PASS, ,PASS,PASS, , ,PASS,1,
5, , , ,FAIL,PASS,FAIL,PASS,FAIL,TIME,PASS,FAIL,FAIL, , , , , ,PASS,6,
50, ,FAIL,FAIL, , , , ,FAIL,FAIL, , ,FAIL, ,FAIL,PASS, , ,FAIL,7,
51, ,FAIL,FAIL, , , , ,FAIL,FAIL, , ,FAIL, ,FAIL,PASS, , ,FAIL,7,
52, ,PASS,PASS, , , , ,PASS,PASS, , ,PASS, ,PASS,PASS, , ,PASS,0,
53, ,FAIL,FAIL, , , , ,FAIL,FAIL, , ,FAIL, ,FAIL,PASS, , ,FAIL,7,
54, ,FAIL, , , , , , , , , , , , ,FAIL, , , ,2,
55, ,FAIL, , , , , , , , , , , , ,FAIL, , , ,2,
56, ,PASS, , , , , , , , , , , , ,PASS, , , ,0,
57, ,EXC,PASS, , , , ,PASS,PASS, , ,PASS, ,PASS, , , ,PASS,1,
58, ,EXC,FAIL, , , , ,PASS,PASS, , ,PASS, ,PASS, , , ,PASS,2,
59, ,EXC,FAIL, , , , ,FAIL,FAIL, , ,FAIL, ,PASS, , , ,FAIL,6,
6, , , ,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , , ,PASS,0,
60, ,EXC,FAIL, , , , ,FAIL,FAIL, , ,FAIL, ,PASS, , , ,FAIL,6,
61, ,PASS,FAIL, , , , ,FAIL,FAIL, , ,FAIL, ,PASS, , , ,FAIL,5,
62, ,EXC,FAIL, , , , ,PASS,PASS, , ,PASS, ,PASS, , , ,PASS,2,
63, ,PASS,FAIL, , , , ,PASS,PASS, , ,PASS, ,PASS, , , ,PASS,1,
64, ,EXC,PASS, , , , ,PASS,PASS, , ,PASS, ,PASS, , , ,PASS,1,
65, ,PASS,FAIL, , , , ,FAIL,FAIL, , ,FAIL, ,PASS, , , ,FAIL,5,
66, ,EXC, , , , , , , , , , , ,PASS, , , , ,1,
67, , ,FAIL, , , , ,FAIL,FAIL, , ,FAIL, , , , , ,FAIL,5,
68, , , , , , , ,TIME,TIME, , ,TIME, , , , , ,FAIL,4,
69, , , , , , , ,PASS,PASS, , ,PASS, , , , , ,PASS,0,
7, , , ,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS, , , , , ,PASS,1,
70, , , , , , , ,EXC,EXC, , ,EXC, , , , , ,EXC,4,
71, , , , , , , ,PASS,PASS, , ,PASS, , , ,FAIL, ,PASS,1,
72, , , , , , , ,PASS,PASS, , ,EXC, , , ,FAIL, ,PASS,2,
73, , , , , , , ,PASS,PASS, , ,PASS, , , ,PASS, ,PASS,0,
74, , , , , , , ,PASS,PASS, , ,EXC, , , ,FAIL, ,PASS,2,
75, , , , , , , ,PASS,PASS, , ,EXC, , , ,FAIL, ,PASS,2,
76, , , , , , , ,PASS,PASS, , ,EXC, , , ,FAIL, ,PASS,2,
77, , , , , , , ,PASS,PASS, , ,EXC, , , ,FAIL, ,PASS,2,
78, , , , , , , ,PASS,PASS, , ,EXC, , , ,FAIL, ,PASS,2,
79, , , , , , , ,PASS,PASS, , ,EXC, , , ,PASS, ,PASS,1,
8, , , ,FAIL,FAIL,FAIL,PASS,FAIL,TIME,PASS,FAIL,FAIL, , , , , ,PASS,7,
80, , , , , , , ,PASS,PASS, , ,EXC, , , ,PASS, ,PASS,1,
81, , , , , , , ,PASS,PASS, , ,PASS, , , ,PASS, ,PASS,0,
82, , , , , , , ,PASS,PASS, , ,EXC, , , ,FAIL, ,PASS,2,
83, , , , , , , ,PASS,PASS, , , , , , , , ,PASS,0,
84, , , , , , , ,PASS,PASS, , , , , , , , ,PASS,0,
85, , , , , , , ,EXC,EXC, , , , , , , , ,PASS,2,
86, , , , , , , ,PASS,PASS, , , , , , , , ,FAIL,1,
87, , , , , , , ,PASS,PASS, , , , , , , , ,PASS,0,
88, , , , , , , ,PASS,PASS, , , , , , , , ,FAIL,1,
89, , , , , , , ,PASS,PASS, , , , , , , , ,FAIL,1,
9, , , ,FAIL,FAIL,FAIL,PASS,FAIL,TIME,PASS,FAIL,FAIL, , , , , ,PASS,7,
90, , , , , , , ,TIME,FAIL, , , , , , , , ,PASS,2,
91, , , , , , , ,PASS,PASS, , , , , , , , ,PASS,0,
92, , , , , , , ,PASS,PASS, , , , , , , , ,FAIL,1,
93, , , , , , , ,PASS,PASS, , , , , , , , ,PASS,0,
94, , , , , , , ,PASS,PASS, , ,PASS, , , ,FAIL, ,PASS,1,
95,PASS,PASS,PASS,EXC,PASS,PASS,PASS,PASS,PASS,PASS,EXC,EXC,PASS,EXC,PASS,EXC,EXC,PASS,6,
96,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
97,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,EXC,18,
98,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,
99,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,1,
